CANADA ENERGY REGULATOR - REGULATORY INSTRUMENTS REPORT - SEPTEMBER 2014 TO 30 SEPTEMBER 2019,,,,,,,,,,,,,,
File Number,"Regulatory 
Instrument 
Number",Issued To Company,"Board 
Item Identifier",,"Issued 
Date","Effective 
Date","Expire 
Date",Sunset Date,"Gic 
Approval 
Required","Sent To
Minister 
Date","Minister To 
Privy Council 
Office Date","Privy Council
Office Approval 
Number","Privy Council 
Office Approval 
Date","Reg Docs 
Number"
OF-Fac-Gas-N081-2019-05 01,Letter,NOVA Gas Transmission Ltd.,190402.4,4/2/2019,4/2/2019,4/2/2019,,,No,,,,,A98587
OF-EI-Gas-GO-C1014 01,GO-044-2019,Citigroup Commodities Canada ULC,190402.1,4/2/2019,4/2/2019,5/1/2019,4/30/2021,,No,,,,,A98586
OF-EI-Gas-GO-C1014 01,GO-045-2019,Citigroup Commodities Canada ULC,190402.1,4/2/2019,4/2/2019,5/1/2019,4/30/2021,,No,,,,,A98586
OF-Fac-Gas-W102-2018-07 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,4/1/2019,4/1/2019,4/1/2019,,,No,,,,,A98574
OF-EI-Oil-ST-E300 01,Letter,Equilibrium Midstream Logistics Ltd.,190401.1,4/1/2019,4/1/2019,4/1/2019,,,No,,,,,A98282
OF-Gen 06 - FRR,Letter,Multi Client,,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,
OF-Fac-Gas-W102-2017-11 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A96562
OF-Fac-Oil-T260-2013-03 45,Letter,Trans Mountain Pipeline ULC,,3/27/2019,3/29/2019,3/29/2019,,,No,,,,,A98517
OF-Fac-PipeGen-T211 04,Letter,TransCanada PipeLines Limited,,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A98550
OF-Tolls-Group1-T211-2018-03 01,Letter,TransCanada PipeLines Limited,,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A98551
OF-Fac-Oil-E101-2018-02 01,AO-001-XO-E101-016-2013,Enbridge Pipelines Inc.,190329.2,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A98561
OF-Fac-Oil-E101-2018-02 01,AO-001-OPLO-E101-006-2014,Enbridge Pipelines Inc.,190329.2,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A98561
OF-Fac-Oil-E101-2018-03 01,OPLO-E101-002-2019,Enbridge Pipelines Inc.,190329.2,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A98559
OF-Tolls-Group1-W102-2019-01 01,TGI-001-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190329.1,3/29/2019,3/29/2019,3/29/2019,,,No,,,,,A98555
OF-Fac-Oil-E101-2014-11 03,OPLO-E101-001-2019,Enbridge Pipelines Inc.,,3/28/2019,3/28/2019,3/28/2019,,,No,,,,,A98539
OF-Fac-Gas-N081-2017-22 01,GPLO-N081-013-2019,NOVA Gas Transmission Ltd.,190328.1,3/28/2019,3/28/2019,3/28/2019,,,No,,,,,A98538
OF-Fac-Gas-T201-2017-01 01,Letter,Trans QuÇbec and Maritimes Pipeline Inc.,190328.3,3/28/2019,3/28/2019,3/28/2019,,,No,,,,,A98540
OF-Fac-Gas-N081-2018-04 01,AO-001-XG-N081-024-2018,NOVA Gas Transmission Ltd.,190328.4,3/28/2019,3/28/2019,3/28/2019,,,No,,,,,A98541
OF-Fac-Gas-W102-2018-07 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,3/27/2019,3/28/2019,3/28/2019,,,No,,,,,A98523
OF-EI-Gas-GO-E295 01,GO-043-2019,Enbridge Gas Inc.,190328.2,3/28/2019,3/28/2019,6/24/2019,6/23/2021,,No,,,,,A98525
OF-Surv-OpAud-C298-2018-2019 01,Letter,Canadian Natural Resources Limited,,3/28/2019,3/28/2019,3/28/2019,,,No,,,,,
OF-Surv-OpAud-V044-2018-2019 01,Letter,Veresen Energy Pipeline Inc.,,3/27/2019,3/28/2019,3/27/2019,,,No,,,,,
OF-Fac-Oil-E101-2018-01 01,Letter,Enbridge Pipelines Inc.,,3/27/2019,3/27/2019,3/27/2019,,,No,,,,,A98512
OF-Fac-Gas-N081-2019-03 01,XG-N081-008-2019,NOVA Gas Transmission Ltd.,190327.1,3/27/2019,3/27/2019,3/27/2019,,3/28/2022,No,,,,,A98513
OF-Fac-Gas-N081-2019-03 01,MO-010-2019,NOVA Gas Transmission Ltd.,190327.1,3/27/2019,3/27/2019,3/27/2019,,3/28/2022,No,,,,,A98513
OF-EI-Elec-N743-2019-01 01,AO-003-EPE-332,"NS Power Energy Marketing Incorporated and 
Nova Scotia Power Inc.",190327.2,3/27/2019,3/27/2019,3/27/2019,9/30/2019,,No,,,,,A98516
OF-Surv-NOC-2015 12,Letter,Trans-Northern Pipelines Inc.,,3/26/2019,3/26/2019,3/26/2019,,,No,,,,,
OF-Surv-NOC-2015 12,Letter,Trans-Northern Pipelines Inc.,,3/26/2019,3/26/2019,3/26/2019,,,No,,,,,
OF-Fac-Oil-T217-2018-01 01,Letter,Trans-Northern Pipelines Inc.,190326.1,3/26/2019,3/26/2019,3/26/2019,,,No,,,,,A98499
OF-Tolls-Group1-N081-2019-01 01,Letter,NOVA Gas Transmission Ltd.,,3/22/2019,3/26/2019,3/26/2019,,,No,,,,,A98496
OF-Fac-Oil-K096-2018-01 01,AO-001-XO-K096-004-2019,Kinder Morgan Utopia Ltd.,190325.1,3/25/2019,3/25/2019,3/25/2019,,,No,,,,,A98489
OF-Fac-Oil-E101-2014-11 03,OPSO-E101-003-2019,Enbridge Pipelines Inc.,,3/22/2019,3/22/2019,3/22/2019,,,No,,,,,A98475
OF-Fac-Gas-N081-2017-28 01,GPLO-N081-012-2019,NOVA Gas Transmission Ltd.,190322.1,3/22/2019,3/22/2019,3/22/2019,,,No,,,,,A98471
OF-Fac-Gas-W102-2018-07 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,3/22/2019,3/22/2019,3/22/2019,,,No,,,,,A98474
OF-Fac-Gas-W102-2018-13 01,MO-009-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190322.2,3/22/2019,3/22/2019,3/22/2019,,,No,,,,,A98479
OF-Surv-OpAud 01,Letter,Multi Client,190321.3,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,
OF-AF-AbComp 01,Letter,National Energy Board,,3/19/2019,3/21/2019,3/21/2019,,,No,,,,,A98448
OF-Surv-NOC-2015 12,Letter,Trans-Northern Pipelines Inc.,,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,
OF-Surv-NOC-2015 12,Letter,Trans-Northern Pipelines Inc.,,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,
OF-Fac-Gas-M182-2018-02 01,MO-008-2019,"Many Islands Pipe Lines 
(Canada) Limited",190321.4,3/21/2019,3/21/2019,3/21/2019,,3/21/2022,No,,,,,A98457
OF-Fac-Oil-K096-2018-01 01,Letter,Kinder Morgan Utopia Ltd.,190321.1,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,A97907
OF-Fac-Oil-T260-2018-02 01,Letter,Trans Mountain Pipeline ULC,190320.6,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,A98420
OF-Fac-Gas-N081-2018-20 01,XG-N081-007-2019,NOVA Gas Transmission Ltd.,190320.1,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,A98454
OF-EI-Elec-B215-2018-01 01,EPE-443,British Columbia Hydro and Power Authority,190320.7,3/20/2019,3/21/2019,4/14/2019,4/13/2029,,No,,,,,A98434
OF-EI-Elec-B215-2018-01 01,EPE-444,British Columbia Hydro and Power Authority,190320.7,3/20/2019,3/21/2019,5/1/2019,4/30/2029,,No,,,,,A98434
OF-Fac-Gas-N081-2019-02 01,Letter,NOVA Gas Transmission Ltd.,190319.3,3/21/2019,3/21/2019,3/21/2019,,,No,,,,,A98451
OF-Fac-Gas-W102-2019-02 01,XG-W102-006-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190321.2,3/21/2019,3/21/2019,3/21/2019,,3/21/2022,No,,,,,A98441
OF-Fac-Gas-W102-2019-02 01,MO-007-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190321.2,3/21/2019,3/21/2019,3/21/2019,,3/21/2022,No,,,,,A98441
OF-EI-Gas-GO-F152 01,GO-039-2019,Freepoint Commodities LLC,190320.2,3/20/2019,3/20/2019,4/27/2019,4/26/2021,,No,,,,,A98416
OF-EI-Gas-GO-F152 01,GO-040-2019,Freepoint Commodities LLC,190320.2,3/20/2019,3/20/2019,4/27/2019,4/26/2021,,No,,,,,A98416
OF-EI-Gas-GO-R043 01,GO-041-2019,Rainbow Energy Marketing Corporation,190320.8,3/20/2019,3/20/2019,4/6/2019,4/5/2021,,No,,,,,A98415
OF-EI-Gas-GO-R043 01,GO-042-2019,Rainbow Energy Marketing Corporation,190320.8,3/20/2019,3/20/2019,4/6/2019,4/5/2021,,No,,,,,A98415
OF-Fac-Gas-N081-2017-31 01,GPLO-N081-011-2019,NOVA Gas Transmission Ltd.,190320.5,3/20/2019,3/20/2019,3/20/2019,,,No,,,,,A98419
OF-Fac-PipeGen-T211 04,Letter,TransCanada PipeLines Limited,,3/20/2019,3/20/2019,3/20/2019,,,No,,,,,A98409
OF-Fac-Gas-N081-2018-25 01,Letter,NOVA Gas Transmission Ltd.,190320.4,3/20/2019,3/20/2019,3/20/2019,,,No,,,,,A98417
OF-Fac-Gas-N081-2019-01 01,Letter,NOVA Gas Transmission Ltd.,190319.2,3/20/2019,3/20/2019,3/20/2019,,,No,,,,,A98412
OF-EI-Gas-PB-ST-D168 01,EPR-081-2019,DK CANADA ENERGY ULC,190320.3,3/20/2019,3/20/2019,3/21/2019,12/31/2019,,No,,,,,A98418
OF-AF-AbComp 01,Letter,National Energy Board,,3/19/2019,3/19/2019,3/19/2019,,,No,,,,,A98395
OF-AF-AbComp 01,Letter,National Energy Board,,3/19/2019,3/19/2019,3/19/2019,,,No,,,,,A98395
OF-AF-AbComp 01,Letter,National Energy Board,,3/19/2019,3/19/2019,3/19/2019,,,No,,,,,A98393
OF-AF-AbComp 01,Letter,National Energy Board,,3/19/2019,3/19/2019,3/19/2019,,,No,,,,,A98394
OF-Surv-OpAud-M253-2018-2019 01,Letter,Montreal Pipe Line Limited,,2/19/2019,3/19/2019,3/19/2019,,,No,,,,,
OF-Fac-Gas-N081-2019-04 01,Letter,NOVA Gas Transmission Ltd.,190319.1,3/19/2019,3/19/2019,3/19/2019,,,No,,,,,A98391
OF-EI-Gas-PB-ST-O118 01,EPR-080-2019,"ONEOK Hydrocarbon, L.P.",190319.4,3/19/2019,3/19/2019,3/20/2019,12/31/2019,,No,,,,,A98389
OF-AF-SAC 04,AO-001-MO-075-2018,National Energy Board,,3/15/2019,3/18/2019,3/18/2019,,,No,,,,,A98369
OF-Fac-Gas-N081-2018-02 01,Letter,NOVA Gas Transmission Ltd.,190318.1,3/18/2019,3/18/2019,3/18/2019,,,No,,,,,A98371
OF-EI-Gas-GO-C960 01,GO-037-2019,Castleton Commodities Merchant Trading  L.P.,190315.3,3/15/2019,3/15/2019,3/16/2019,3/15/2021,,No,,,,,A98347
OF-EI-Gas-GO-C960 01,GO-038-2019,Castleton Commodities Merchant Trading  L.P.,190315.3,3/15/2019,3/15/2019,3/16/2019,3/15/2021,,No,,,,,A98347
OF-Fac-Gas-N081-2013-10 03,Letter,NOVA Gas Transmission Ltd.,,3/15/2019,3/15/2019,3/15/2019,,,No,,,,,A98364
OF-Fac-Gas-W102-2018-07 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,3/15/2019,3/15/2019,3/15/2019,,,No,,,,,A98340
OF-Tolls-Group1-T217-2019-01 01,TO-002-2019,Trans-Northern Pipelines Inc.,190315.2,3/15/2019,3/15/2019,3/15/2019,,,No,,,,,A98355
OF-Surv-AMP-2019 01,Letter,Plains Midstream Canada ULC,190315.1,3/15/2019,3/15/2019,3/15/2019,,,No,,,,,
OF-EI-Gas-GO-C295 01,GO-036-2019,Centra Gas Manitoba Inc.,190314.3,3/14/2019,3/14/2019,4/1/2019,3/31/2021,,No,,,,,A98331
OF-Fac-Gas-N081-2018-02 01,GPLO-N081-010-2019,NOVA Gas Transmission Ltd.,190314.2,3/14/2019,3/14/2019,3/14/2019,,,No,,,,,A98330
OF-EI-Gas-GO-R154 01,GO-034-2019,Royal Bank of Canada - Banque Royale du Canada,190313.2,3/13/2019,3/13/2019,3/14/2019,3/13/2021,,No,,,,,A98303
OF-EI-Gas-GO-R154 01,GO-035-2019,Royal Bank of Canada - Banque Royale du Canada,190313.2,3/13/2019,3/13/2019,3/14/2019,3/13/2021,,No,,,,,A98303
OF-EI-Gas-GL-T293-2013-01 01,Letter,Triton LNG Limited Partnership,190228.1,3/13/2019,3/13/2019,3/13/2019,,,No,,,,,A98311
OF-Tolls-Group1-T211-2017-04 01,TG-001-2019,TransCanada PipeLines Limited,190312.2,3/13/2019,3/13/2019,3/13/2019,,,No,,,,,A98310
OF-Fac-Gas-W102-2018-02 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,3/12/2019,3/13/2019,3/13/2019,,,No,,,,,A98305
OF-Fac-Gas-N081-2018-15 01,Letter,NOVA Gas Transmission Ltd.,190313.1,3/13/2019,3/13/2019,3/13/2019,,,No,,,,,A98307
OF-Fac-Gas-W102-2019-01 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,3/12/2019,3/13/2019,3/13/2019,,,No,,,,,A98308
OF-Fac-Gas-N081-2019-04 01,Letter,NOVA Gas Transmission Ltd.,190312.1,3/13/2019,3/13/2019,3/13/2019,,,No,,,,,A98309
OF-Fac-Gas-N081-2019-05 01,Letter,NOVA Gas Transmission Ltd.,190312.3,3/12/2019,3/12/2019,3/12/2019,,,No,,,,,A98294
OF-EI-Oil-ST-C932 01,AO-001-ROE-117-2019,CityServiceValcon LLC,190311.3,3/11/2019,3/11/2019,3/12/2019,12/31/2019,,No,,,,,A98283
OF-EI-Gas-GO-M710 01,GO-032-2019,Mieco Inc.,190311.4,3/11/2019,3/11/2019,5/17/2019,5/16/2021,,No,,,,,A98278
OF-EI-Gas-GO-M710 01,GO-033-2019,Mieco Inc.,190311.4,3/11/2019,3/11/2019,5/17/2019,5/16/2021,,No,,,,,A98278
OF-Tolls-Group2-O115-AFS 01,Letter,Obsidian Energy Ltd.,190311.2,3/11/2019,3/11/2019,3/11/2019,,,No,,,,,A98280
OF-EI-Gas-GL-R759-2019-01 01,AO-001-GL-296,"Repsol Oil & Gas Canada Inc., doing business as 
Repsol Energy Canada",190311.1,3/11/2019,3/11/2019,3/12/2019,10/31/2033,,No,,,,,A98274
OF-EI-Gas-GL-R759-2019-01 01,AO-001-GL-297,"Repsol Oil & Gas Canada Inc., doing business as 
Repsol Energy Canada",190311.1,3/11/2019,3/11/2019,3/12/2019,10/31/2033,,No,,,,,A98274
OF-EI-Oil-ST-E300 01,AO-002-ROE-146-2019,Equilibrium Midstream Logistics Ltd.,190311.5,3/11/2019,3/11/2019,3/12/2019,12/31/2019,,No,,,,,A98282
OF-Fac-Gas-N081-2018-14 01,Letter,NOVA Gas Transmission Ltd.,,3/8/2019,3/8/2019,3/8/2019,,,No,,,,,A98271
OF-Fac-Oil-T241-2019-01 01,Letter,TransCanada Keystone Pipeline GP Ltd.,190308.1,3/8/2019,3/8/2019,3/8/2019,,,No,,,,,A98265
OF-EI-Oil-ST-C1013 01,ROE-182-2019,Canadian Natural Gas Ltd.,190308.2,3/8/2019,3/8/2019,3/9/2019,12/31/2019,,No,,,,,A98251
OF-Fac-Gas-N081-2011-05 03,Letter,NOVA Gas Transmission Ltd.,190307.3,3/7/2019,3/7/2019,3/7/2019,,,No,,,,,A98227
OF-Fac-Gas-W102-2019-02 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190307.1,3/7/2019,3/7/2019,3/7/2019,,,No,,,,,A98222
OF-Fac-Gas-N081-2019-03 01,Letter,NOVA Gas Transmission Ltd.,190307.2,3/7/2019,3/7/2019,3/7/2019,,,No,,,,,A98223
OF-EI-Oil-ST-K086 01,AO-001-ROE-022-2019,Keyera Energy Inc.,190306.1,3/6/2019,3/6/2019,3/6/2019,12/31/2019,,No,,,,,A98196
OF-Fac-PipeGen-T211 04,Letter,TransCanada PipeLines Limited,,3/6/2019,3/6/2019,3/6/2019,,,No,,,,,A98194
OF-Surv-OpAud-A159-2018-2019 01,Letter,Alliance Pipeline Ltd.,,3/6/2019,3/6/2019,3/6/2019,,,No,,,,,
OF-EI-Oil-ST-Z062 01,ROE-181-2019,"2156422 Alberta Ltd. dba Clover Oil & Gas, Ltd.",190306.2,3/6/2019,3/6/2019,3/7/2019,12/31/2019,,No,,,,,A98195
OF-Fac-Oil-E101-2014-11 03,OPSO-E101-002-2019,Enbridge Pipelines Inc.,,3/5/2019,3/5/2019,3/5/2019,,,No,,,,,A98174
OF-EI-Gas-PB-ST-N725 01,EPR-079-2019,NewTimes Energy Ltd.,190305.2,3/5/2019,3/5/2019,3/6/2019,12/31/2019,,No,,,,,A98182
OF-EI-Gas-PB-ST-N725 01,EBU-063-2019,NewTimes Energy Ltd.,190305.2,3/5/2019,3/5/2019,3/6/2019,12/31/2019,,No,,,,,A98182
OF-Fac-Oil-T217-2018-01 01,Letter,Trans-Northern Pipelines Inc.,190301.2,3/5/2019,3/5/2019,3/5/2019,,,No,,,,,A98183
OF-Tolls-Group1-T260-2019-01 01,TO-001-2019,Trans Mountain Pipeline ULC,,3/5/2019,3/5/2019,3/5/2019,,,No,,,,,A98190
OF-EI-Gas-PB-ST-S863 01,EPR-078-2019,Suez Marketing LLC,190305.1,3/5/2019,3/5/2019,3/6/2019,12/31/2019,,No,,,,,A98184
OF-EI-Gas-PB-ST-S863 01,EBU-062-2019,Suez Marketing LLC,190305.1,3/5/2019,3/5/2019,3/6/2019,12/31/2019,,No,,,,,A98184
OF-Fac-Oil-T241-2009-01 02,Letter,TransCanada Keystone Pipeline GP Ltd.,,3/4/2019,3/4/2019,3/4/2019,,,No,,,,,A98169
OF-EI-Oil-ST-T105 01,ROE-180-2019,Tesoro Canada Supply & Distribution Ltd.,190304.2,3/4/2019,3/4/2019,3/5/2019,12/31/2019,,No,,,,,A98173
OF-Fac-Oil-E101-2014-11 03,OPSO-E101-001-2019,Enbridge Pipelines Inc.,,3/4/2019,3/4/2019,3/4/2019,,,No,,,,,A98174
OF-Fac-Gas-N081-2018-13 01,AO-001-XG-N081-028-2018,NOVA Gas Transmission Ltd.,190304.1,3/4/2019,3/4/2019,3/4/2019,,,No,,,,,A98163
OF-Fac-Gas-O115-2018-01 01,Letter,Obsidian Energy Ltd.,,3/4/2019,3/4/2019,3/4/2019,,,No,,,,,A98119
OF-Fac-Gas-W102-2018-11 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190304.3,3/4/2019,3/4/2019,3/4/2019,,,No,,,,,A98162
OF-Fac-Gas-W102-2018-12 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190304.4,3/4/2019,3/4/2019,3/4/2019,,,No,,,,,A98171
OF-Fac-Oil-E101-2014-11 03,Letter,Enbridge Pipelines Inc.,,3/1/2019,3/1/2019,3/1/2019,,,No,,,,,A98157
OF-Fac-Gas-N081-2017-22 01,Letter,NOVA Gas Transmission Ltd.,190301.3,3/1/2019,3/1/2019,3/1/2019,,,No,,,,,A98153
OF-Fac-Gas-N081-2017-28 01,Letter,NOVA Gas Transmission Ltd.,190301.4,3/1/2019,3/1/2019,3/1/2019,,,No,,,,,A98154
OF-Fac-Oil-T260-2018-01 01,Letter,Trans Mountain Pipeline ULC,190301.1,3/1/2019,3/1/2019,3/1/2019,,,No,,,,,A98155
OF-Fac-Oil-E101-2014-11 03,Letter,Enbridge Pipelines Inc.,,2/28/2019,2/28/2019,2/28/2019,,,No,,,,,A98077
OF-Fac-Oil-T260-2013-03 03,Letter,Trans Mountain Pipeline ULC,,2/28/2019,2/28/2019,2/28/2019,,,No,,,,,A98079
OF-Fac-Gas-W102-2017-11 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190228.3,2/28/2019,2/28/2019,2/28/2019,,,No,,,,,A98093
OF-Fac-Gas-N081-2018-05 01,GPLO-N081-009-2019,NOVA Gas Transmission Ltd.,190227.4,2/28/2019,2/28/2019,2/28/2019,,,No,,,,,A98070
OF-Fac-Gas-N081-2018-18 01,Letter,NOVA Gas Transmission Ltd.,190227.2,2/28/2019,2/28/2019,2/28/2019,,,No,,,,,"A98099, A98101"
OF-Fac-Gas-N081-2018-22 01,XG-N081-004-2019,NOVA Gas Transmission Ltd.,190228.2,2/28/2019,2/28/2019,2/28/2019,,2/28/2022,No,,,,,A98108
OF-Surv-OpAud-A174-2018-2019 01,Letter,"AltaGas Holdings Inc. for and 
on behalf of AltaGas Pipeline Partnership",,2/27/2019,2/28/2019,2/28/2019,,,No,,,,,
OF-EI-Oil-ST-C418 01,ROE-179-2019,Canada Hibernia Holding Corporation,190227.3,2/27/2019,2/27/2019,2/28/2019,12/31/2019,,No,,,,,A98068
OF-Surv-Gen-DIO 01,Letter,National Energy Board,190227.1,2/27/2019,2/27/2019,2/27/2019,,,No,,,,,
OF-EI-Oil-ST-S856 01,AO-001-ROE-146-2019,Simba Transload Ltd.,190226.1,2/26/2019,2/26/2019,2/26/2019,12/31/2019,,No,,,,,A98048
OF-Fac-PipeGen-T211 04,Letter,TransCanada PipeLines Limited,,2/26/2019,2/26/2019,2/26/2019,,,No,,,,,"A98052, A98053, A98054"
OF-Fac-Gas-N081-2018-24 01,Letter,NOVA Gas Transmission Ltd.,190226.2,2/26/2019,2/26/2019,2/26/2019,,,No,,,,,"A98084, A98088"
OF-Surv-Gen-DIO 01,Letter,National Energy Board,190225.1,2/25/2019,2/25/2019,2/25/2019,,,No,,,,,
OF-EI-Oil-ST-E299 01,ROE-178-2019,East Gate Properties LLC,190225.2,2/25/2019,2/25/2019,2/26/2019,12/31/2020,,No,,,,,A98035
OF-EI-Gas-GO-T297 01,GO-030-2019,Tidewater Midstream and Infrastructure Ltd.,190222.1,2/22/2019,2/22/2019,2/23/2019,2/22/2021,,No,,,,,A98025
OF-EI-Gas-GO-T297 01,GO-031-2019,Tidewater Midstream and Infrastructure Ltd.,190222.1,2/22/2019,2/22/2019,2/23/2019,2/22/2021,,No,,,,,A98025
OF-Fac-Gas-N081-2018-12 01,AO-001-XG-N081-029-2018,NOVA Gas Transmission Ltd.,190221.4,2/21/2019,2/21/2019,2/21/2019,,,No,,,,,A97998
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,2/21/2019,2/21/2019,2/21/2019,,,No,,,,,A97993
OF-EI-Gas-GO-R759 01,AO-001-GO-052-2017,"Repsol Oil & Gas Canada Inc., doing business as 
Repsol Energy Canada",190221.2,2/21/2019,2/21/2019,2/22/2019,6/18/2019,,No,,,,,A97994
OF-EI-Gas-GO-R759 01,AO-001-GO-094-2018,"Repsol Oil & Gas Canada Inc., doing business as 
Repsol Energy Canada",190221.3,2/21/2019,2/21/2019,2/22/2019,7/31/2020,,No,,,,,A97995
OF-EI-Gas-LNG-R759 01,AO-001-GO-044-2017,"Repsol Oil & Gas Canada Inc., doing business as 
Repsol Energy Canada",190221.1,2/21/2019,2/21/2019,2/22/2019,4/28/2019,,No,,,,,A98000
OF-EI-Gas-LNG-R759 01,AO-001-GO-184-2018,"Repsol Oil & Gas Canada Inc., doing business as 
Repsol Energy Canada",190221.1,2/21/2019,2/21/2019,2/22/2019,11/14/2020,,No,,,,,A98000
OF-EI-Oil-ST-C1012 01,AO-002-ROE-087-2019,CNOOC PETROLEUM NORTH AMERICA ULC,190220.1,2/20/2019,2/20/2019,2/20/2019,12/31/2019,,No,,,,,A97983
OF-EI-Gas-GO-C1012 01,AO-001-GO-176-2018,CNOOC PETROLEUM NORTH AMERICA ULC,190220.2,2/20/2019,2/20/2019,2/20/2019,11/30/2020,,No,,,,,A97980
OF-EI-Gas-GO-C1012 01,AO-001-GO-177-2018,CNOOC PETROLEUM NORTH AMERICA ULC,190220.2,2/20/2019,2/20/2019,2/20/2019,11/30/2020,,No,,,,,A97980
OF-EI-Oil-ST-G419 01,ROE-177-2019,"Gibson Energy ULC, Managing Partner of 
Moose Jaw Refinery Partnership",190215.1,2/15/2019,2/15/2019,2/16/2019,12/31/2019,,No,,,,,A97943
OF-Gen 06 - FRR,Letter,Multi Client,,2/15/2019,2/15/2019,2/15/2019,,,No,,,,,
OF-Fac-Oil-E101-2014-11 03,Letter,Enbridge Pipelines Inc.,,2/15/2019,2/15/2019,2/15/2019,,,No,,,,,A97939
OF-Fac-Gas-N081-2018-21 01,XG-N081-002-2019,NOVA Gas Transmission Ltd.,190213.1,2/15/2019,2/15/2019,2/15/2019,,2/15/2022,No,,,,,A97938
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,2/14/2019,2/14/2019,2/14/2019,,,No,,,,,A97926
OF-Surv-OpAud-C298-2018-2019 01,Letter,Canadian Natural Resources Limited,,2/14/2019,2/14/2019,2/14/2019,,,No,,,,,
OF-Fac-PipeGen-T211 04,Letter,TransCanada PipeLines Limited,,2/13/2019,2/13/2019,2/13/2019,,,No,,,,,A97913
OF-EI-Elec-N721-2018-01 01,EPE-442,Nalcor Energy Marketing Corporation,190213.4,2/13/2019,2/13/2019,6/19/2019,6/18/2029,,No,,,,,A97912
OF-EI-Gas-LNG-K101 01,GO-028-2019,Kate Energy Holdings Inc.,190213.3,2/13/2019,2/13/2019,2/14/2019,2/13/2021,,No,,,,,A97911
OF-EI-Gas-LNG-K101 01,GO-029-2019,Kate Energy Holdings Inc.,190213.3,2/13/2019,2/13/2019,2/14/2019,2/13/2021,,No,,,,,A97911
OF-Surv-OpAud-W102-2016-2017 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190212.1,2/12/2019,2/12/2019,2/12/2019,,,No,,,,,
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,2/12/2019,2/12/2019,2/12/2019,,,No,,,,,A97902
OF-Fac-Oil-K096-2018-01 01,XO-K096-004-2019,Kinder Morgan Utopia Ltd.,190211.2,2/12/2019,2/12/2019,2/12/2019,,2/14/2022,No,,,,,A97907
OF-Fac-Oil-K096-2018-01 01,MO-004-2019,Kinder Morgan Utopia Ltd.,190211.2,2/12/2019,2/12/2019,2/12/2019,,2/14/2022,No,,,,,A97907
OF-Fac-Gas-T211-2018-02 01,Letter,TransCanada PipeLines Limited,,2/11/2019,2/11/2019,2/11/2019,,,No,,,,,A97889
OF-Fac-Gas-W102-2018-09 01,MO-005-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190211.3,2/11/2019,2/11/2019,2/11/2019,,,No,,,,,A97894
OF-Fac-Oil-P123-2018-02 01,Letter,"Pouce CoupÇ Pipe Line Ltd. as agent and 
general partner of the Pembina North Limited Partnership",190211.1,2/11/2019,2/11/2019,2/11/2019,,,No,,,,,A97891
OF-EI-Gas-GO-S374 01,GO-027-2019,Sequent Energy Canada Corp.,190208.2,2/8/2019,2/8/2019,3/7/2019,3/6/2021,,No,,,,,A97874
OF-Fac-Gas-N081-2017-22 01,GPSO-N081-004-2019,NOVA Gas Transmission Ltd.,190208.1,2/8/2019,2/8/2019,2/8/2019,,,No,,,,,A97873
