receiver,name
TransCanada PipeLines Limited,A75675-1 Letter to TransCanada PipeLines Limited - A4Y3V4
Energy East Pipeline Ltd.,A75676-1 Response to NEB Directive Dated 3 February 2016 - A4Y3V6
CANADA LTD.,A75762-1 Tear sheets of the NOA DOP and Affidavit of the Director - A4Y4T9
TransCanada PipeLines Limited,A75776-1 Letter - A4Y4Y5
ITC Lake Erie Connector LLC,A75809-1 ITC Lake Erie Connector Project - Notice of Intent to Provide Oral Traditional Evidence - A4Y5K8
TransCanada PipeLines Limited,A76143-1 Application to Participate Notification and List of Issues - A4Z0D8
TransCanada PipeLines Limited,A76197-1 Letter to TransCanada - Confidentiality Request of Species at Risk - A4Z0X4
Westcoast Energy Inc.,A76308-1 Letter - A4Z2L8
TransCanada PipeLines Limited,A76409-1 Confirmation of Publication Notice - A4Z3W7
WCC LNG Ltd.,A77135-1 WCC LNG Ltd. - Letter re Confirmation of Publication of Notice - A5C0U4
TransCanada PipeLines Limited,A77165-1 Letter - A5C1E2
Pembina Pipeline Corporation,A77182-1 Letter - A5C1L7
Kitsault Energy Ltd,A77196-1 Letter - A5C1V2
Energy East Pipeline Ltd.,A77512-1 Letter - A5C6H2
,A77981-3 Pages 224-254 - A5D2D1
,A77981-4 Pages 255-286 - A5D2D2
,A77986-3 Pages 383-414 - A5D2E8
,A77997-5 Pages 286-317 - A5D2I8
,A78002-1 Pages 1-49 - A5D2K4
,A78007-2 Pages 23-42 - A5D2Q4
Energy East Pipeline Ltd.,A78010-1 NEB Letter - Energy East and Eastern Mainline time limits - A5D2R4
,A78147-2 Pages 21-40 - A5D4E2
,A78157-2 Pages 181-200 - A5D4G9
,A78157-3 Pages 201-220 - A5D4H0
,A78175-1 Letter - A5D4L1
TransCanada PipeLines Limited,A78263-1 Letter to TransCanada PipeLines Limited - Orders Respecting Giuseppe Sidoti and Maria Sidoti - A5D5H7
,A78365-5 Pages 541-598 - A5D6K9
Independent Electricity System Operator (IESO),A78621-1 IESO Cover Letter Export Permit Application 2016-07-20 - A5E0C5
TransCanada PipeLines Limited,A78705-1 Letter - A5E1H7
"EDF Trading North America, LLC","A78730-1 EDF Trading North America, LLC - Tear Sheets and Affidavit - A5E1Q9"
,A79095-1 Letter - A5E6X4
Petrogas Energy Corp.,A79167-1 Letter re Publication Confirmation - A5E7V2
TransCanada PipeLines Limited,A79256-1 Letter - A5E8Y7
Pembina Resource Services Canada,A79267-1 Letter to Pembina Resources Services Canada Process Decision RH-002-2016 - A5E9C5
Pembina Resource Services Canada,A79267-3 Letter  - Pre-hearing technical conference - A5E9C7
Energy East Pipeline Ltd.,A79372-1 Energy East - TransCanada letter -Library Confirmation - Energy East & EML Projects
,A79374-1 NEB Recusal Decision Statement of Chair and Vice-Chair - A79373-2 ONÉ Décision no. 28 - Récusation du Comité et ajournement de l audience OH-002-2016 - Energy East and Eastern Mainline
Energy East Pipeline Ltd.,A80499-1 NEB Letter to Parties - Motions and Requests - Energy East and Eastern Mainline
NOVA Gas Transmission Ltd.,"A80819-1 NEB Letter - NGTL - Draft PPBoR, Notices and Publication Plan - 2017 NGTL System Expansion"
TransCanada PipeLines Limited,A80852-1 Herbert LTFP Streamline Process Notice - A5H3U3
Trans Mountain Pipeline ULC,A80988-1 Trans Mountain Sample PPBoR - Section 34 Notice Filing and Appendix 1 - A5H5L1
Manitoba Hydro,A81031-1 Centra - Letter of Intent to Participate - December 14 2016 - A5H6F7
Westcoast Energy Inc.,A81043-1 Letter to Westcoast Wyndwood Pipeline Expansion - Notice of Public Hearing and Application to Participate and Legislated Time Limit and Decision on Process - A5H6I6
Westcoast Energy Inc.,A81044-3 NEB Letter to Westcoast Wyndwood Pipeline Expansion - Notice of Public Hearing and Application to Participate and Legislated Time Limit and Decision on Process - A5H6I8
SocïVolta Inc.,A81046-1 NEB Letter - SocïVolta Inc
Montreal Pipe Line Limited,A81092-1 NEB Letter to Montreal Pipe Line Limited Order MO-057-2016
TransCanada PipeLines Limited,A81100-1 NEB Letter - Process - TransCanada Herbert LTFP - A5H7J3
,A81129-1 NEB Letter Rate of Return on Common Equity per Discontinued RH-2-94 Formula for 2017
Enbridge Pipelines Inc.,A81151-1 Letter to NEB re Sample Section 34 Notices and PPBoR - A5H8E6
Westcoast Energy Inc.,A81272-1 NEB - Letter - Environment and Climate Change Canada - Westcoast - Coquihalla River Crossing 16 Replacement Project - Species at Risk Act
Enbridge Pipelines Inc.,A81381-1 NEB - Letter - Enbridge - Line 9B Reversal Condition 25  Order XO-E101-003-2014 - A5I2Q7
TransCanada PipeLines Limited,A81480-1 NEB Letter to NOVA Gas – Application to Participate Notice – Peace River - A5I4D6
Enbridge Pipelines Inc.,A81484-1 NEB – Letter – Enbridge Line 10 Replacement – OH-001-2016 - A5I4F6
Independent Electricity System Operator (IESO),A81512-1 NEB - Letter - IESO - AO-003-EPE-289 - A5I4R8
,A81612-1 NEB – Notice of Intent – NGTL - Albersun Project – GHW-001-2016 - A5I6E1
Enbridge Pipelines Inc.,A81621-1 NEB Letter to Enbridge – PPBoR – Line 3 replacement - A5I6H1
Trans Mountain Pipeline ULC,"A81698-1 NEB - Letter - Trans Mountain - Approval of Plan, Profile and Book of Reference PPBoR - A5I7K8"
Trans Mountain Pipeline ULC,"A81778-1 Segmented Plan, Profile and Book of Reference (PPBoR) Filing Schedule - A5I9A7"
Westcoast Energy Inc.,A81810-1 NEB - Letter - Environment and Climate Change Canada - Westcoast - 2BL Crossover Assemblies Replacement - Species at Risk Act - A5I9R5
Trans Mountain Pipeline ULC,A81964-1 Trans Mountain Letter re Segmented PPBoR Schedule with App A and B - A5J2R0
NOVA Gas Transmission Ltd.,A82113-1 NEB - Letter - NOVA Gas - Towerbirch Expansion GH-003-2015 - Project Approval - A5J5G4
Many Islands Pipe Lines (Canada) Limited,A82199-1 NEB - Letter - MIPL(C)L - Husky-Marwayne - AO-001-XG-M29-61-94 - A5J6W7
TransCanada PipeLines Limited,A82284-1 Union Gas Limited Letter to NEB - Response to Request for Direction on Final Argument by TransGas Limited - A5J8I4
TransCanada PipeLines Limited,A82299-1 Dawn LTFP Streamline Process Notice - A5J8Q2
,A82332-1 NEB Letter - Permit EPE-423 - Northland - Export electricity from its Kingston Cogen plant located in Bath Ontario - A5J8Z5
Veresen NGL Pipeline Inc.,A82602-1 NEB Letter - Environnment Canada - Veresen NGL - Empress Pipeline - Potential Effect on Species Listed Under the Species at Risk Act - A5K3T6
NOVA Gas Transmission Ltd.,A82629-1 NEB - Letter - NOVA Gas - Sundre Crossover - A5K4F7
NOVA Gas Transmission Ltd.,A82755-1 NEB - Letter - NOVA Gas - GC-127 - Draft PPBoR - A5K6G6
Trans Mountain Pipeline ULC,A83552-1 Letter to NEB re section 34 notices - A5L6Z8
Energy East Pipeline Ltd.,A83656-1 Letter from Environmental Defence and Équiterre - River Crossing Information Gaps - A5L8T5
Trans Mountain Pipeline ULC,"A83736-1 Letter re s 34(1)(b) Notices, Errata and Appendix 1 - Re-publication schedule - A5Q0H1"
Trans Mountain Pipeline ULC,A84051-1 NEB - Letter - Trans Mountain - Detailed Route Extension Notices - A5Q6I4
Trans Mountain Pipeline ULC,A84172-1 Trans Mountain letter re Sherwood Park - Strathcona County News Notice - A5R0V9
TransCanada PipeLines Limited,A84285-1 NEB Letter to TransCanada - Vaughan Mainline Expansion - A5R2C1
Trans Mountain Pipeline ULC,A84459-1 Trans Mountain Letter to NEB re s 34(1)(b) notice publication - A5R4X7
,A84459-2 App 3 - Trans Mountain Tear Sheets - Abbotsford - Edmonton - A5R4X8
,A84459-3 App 3 - Trans Mountain Tear Sheets - Edson- Merritt - A5R4X9
,A84459-4 App 3 - Trans Mountain Tear Sheets - Rocky Mountain - Wabamun - A5R4Y0
NOVA Gas Transmission Ltd.,A84543-1 NEB Letter to NOVA Gas - Order GPL-N081-002-2017 - A5R6H9
Trans Mountain Pipeline ULC,A84602-1 Ltr Notice of Change Order FRO-002-2017 Final - A5R7F2
Manitoba Hydro,A84661-1 NEB - Letter - Manitoba Hydro - MMTP - Register to Participate - A5R8A3
Energy East Pipeline Ltd.,A84949-1 NEB – Letter – EIPE - A5S2K9
Energy East Pipeline Ltd.,A84950-1 NEB – Letter – EE and EIPE - A5S2L2
Energy East Pipeline Ltd.,A84951-1 NEB – Letter – EIPE - A5S2L5
,A85154-1 NEB Letter - Permit EPE-427 - RNYPCorp - Export electricity - A5S5K3
,A85171-1 GML55 LetterToNEB PRML 27JULY2017 - A5S5X9
RBCP Canadian GP Limited,A85219-1 NEB - Letter - Permit EPE-428 - 2001RBCP - A5S6S9
Trans Mountain Pipeline ULC,A85282-1 Trans Mountain to NEB Letter re sample substituted service advertisement - A5S8T4
EnCana Corporation,A85487-1 NEB - Letter - NEBC Producers - A5T1Q1
Energy East Pipeline Ltd.,A85619-1 NEB Letter to Interested Persons - List of Issues and EA Factors Document - Energy Est and Eastern Mainline - A5T4L9
Trans Mountain Pipeline ULC,A85670-1 Trans Mountain Financial Assurances Letter 2 - A5T5H7
Energy East Pipeline Ltd.,"A85808-1 NEB Letter to Parties - Concordance tables - Energy East, Eastern Mainline - A5T8F7"
Trans Mountain Pipeline ULC,A85882-1 Trans Mountain Letter re Spread 1 and 2 Publications - A5T9F7
TransCanada PipeLines Limited,A85897-1 NEB – Letter and Notice of Public Hearing MH-031-2017 to NOVA Gas – North Montney Mainline - A5T9L2
Mercuria Commodities Canada Corporation,A85931-1 NEB - Letter - MercuriaCCC - EPE-429 - Electricity Export Permit - A5T9Y4
,"A85963-1 St. Lawrence Gas Company, Inc. Request to Intervene  - A5U0I8"
Trans Mountain Pipeline ULC,A86020-1 Trans Mountain Letter to NEB re Segment 1 and 2 Notice Publication Dates - A5U1Q9
Columbia Power Corporation,A86263-1 NEB - Letter - CPC - Revocation Order RO-EPE-341 - A5U4J6
Enbridge Pipelines Inc.,A86635-1 NEB - Letter - Enbridge - Secure Energy Connection - Kerrobert Terminal - Legislated Time Limit and Decision on Process - A5V2R4
NOVA Gas Transmission Ltd.,A86645-1 NEB – Letter to Comment Process Participants – NOVA Gas – North Montney Mainline - A5V2T6
,A86729-1 NEB - Letter - Nexus - EPE-430 - 10-year Electricity Permit A5V3U7
Trans Mountain Pipeline ULC,A87557-1 NEB - Letter - Proposed Schedule Not Accepted - TMX - NCQ - A5W6K2
Canada Inc.,A87647-1 NEB – Letter – Trans Mountain – Expansion Project - Line 2 Design Temperature - A5W7X7
Trans Mountain Pipeline ULC,A87659-1 A87485-1 Procedural Update No - A5W8C4
,A87712-1 Letter - A5W8U2
,A87729-1 NEB Letter Abandonment Costs Estimate Review - Technical Conference – Agenda and Updates and List of Registrants - A5W9A0
,A87893-1 NEB Letter - Abandonment Funding Reporting Form – Appendix XVI - A5X1J3
TransCanada PipeLines Limited,A88044-1 NEB – Release Letter– TransCanada – Dawn LTFP – RH-003-2017 - A5X3V0
Trans Mountain Pipeline ULC,A88204-1 NEB - Letter - Trans Mountain Expansion Project - NCQ - Oral Hearing Details and Guidance - A5X6F9
Enbridge Pipelines Inc.,A88235-1 NEB - Procedural Matters for the Hearing - Parties RH-001-2017  - A5X6R4
Trans Mountain Pipeline ULC,A88307-1 Cover Letter - A5X7S8
Trans Mountain Pipeline ULC,A88474-1 NEB - Letter - Trans Mountain Expansion Project - NCQ - A5Y0K2
NOVA Gas Transmission Ltd.,A88550-1 NEB – Letter – NOVA Gas – Report Release – Albersun – GHW-001-2016 - A5Y2D6
Westcoast Energy Inc.,A88768-5 NEB - Letter and Errata - Westcoast - MO-059-2017 - Fireweed Pipeline - A6C4S2
Manitoba Hydro,A88851-1 NEB - Letter - Manitoba Hydro - MMTP - Hearing Order EH-001-2017 - A5Y6X8
Westcoast Energy Inc.,A88974-1 NEB Letter - Westcoast - Variance of MO-043-2017 - Decommission Exhisting Conntection Boundary Lake - A5Y8U6
Manitoba Hydro,A89012-1 NEB - Ruling No. 3 - Manitoba Hydro - EH-001-2017 - A5Y9K0
,A89926-1 NEB Letter - Orders  AO-003-OC-49 and AO-004-OC-2 - Trans Mountain - Variance for Edmonton Terminal Tank 9 and Wolf and Niton Pump Stations - A6A1V0
,A89926-2 ONÉ Lettre - Ordonnances AO-003-OC-49 et AO-004-OC-2 - Trans Mountain - modification visant le réservoir no 9 au terminal Edmonton et les stations de pompage Wolf et Niton - A6A1U9
Kinder Morgan Utopia Ltd.,"A89939-1 Kinder Morgan Response to NEB Information Request No. 1 - MO-014-2016, Compliance 2-12-18 - A6A1Z5"
Manitoba Hydro,A89945-1 NEB Letter to Manitoba Hydro - AO-005-EC-III-16 - Riel International Power Line - A6A2D9
NOVA Gas Transmission Ltd.,A9-1 - NEB Letter  - Process Advisor  - A2L1Q7
TransCanada PipeLines Limited,A9-1 - RH-001-2013 Procedural Matters and Directives - A3K4Q2 
Manitoba Hydro,A90001-1 NEB - Ruling No. 4 - Manitoba Hydro - EH-001-2017 - A6A3A6
TransCanada PipeLines Limited,A90198-1 Update - TC Website - TCPL EM Corporate Program Manual Revision 21 - Eng and Fr Redacted - 2018-02-26 - A6A5X7
TransCanada PipeLines Limited,A90204-1 NEB - Letter - TransCanada - Block 41 - City of Vaughan - Station 130 C4 - Notion of Motion - A6A5Z9
TransCanada PipeLines Limited,A90505-1 NEB - Letter - TransCanada - Block 41 - Station 130 C4 - Motion to Compel - A6C0F4
TransCanada PipeLines Limited,A90612-1 NEB – Notice of Public Hearing and Application to Participate to TransCanada – 2018 to 2020 Mainline Tolls - A6C2A9
Pacific Traverse Energy Ltd.,A90648-1 Letter to NEB re Publication Confirmation - A6C2R7
"Cargill Energy Trading Canada, Inc.",A90653-1 NEB - Letter - Cargill Energy - RO-EPE-373 - A6C2W0
,A90715-1 TM Letter to NEB - Request to confirm status of route hearing for Mr. Breckenridge - A6C4F0
Manitoba Hydro,A90822-1 NEB - PU No. 1 - Manitoba Hydro - EH-001-2017 - Oral Traditional Evidence - A6C6E2
Westcoast Energy Inc.,A91161-1 NEB - Westcoast - Kobes 3 Pipe Replacement - Legislated Time Limit and Decision on Process - A6D1J5
NOVA Gas Transmission Ltd.,A91210-1 NEB - Letter - Asini Wachi Nehiyawak (Mountain Cree) - NOVA Gas - Dismal Creek North - Letter dated 11 March 2018 - A6D2E6
Trans Mountain Pipeline ULC,"A91386-1 NEB Procedural Update No.4  Segment 5 - Hearing schedule, witnesses, attendees, exhibit forms - Trans Mountain Expansion - A6D5E4"
Trans Mountain Pipeline ULC,A91441-1 TM Letter to NEB re Musqueam Late Application to Participate - A6D5Z9
Algonquin Tinker Gen Co,A91516-1 Letter - A6D7H6
TransCanada PipeLines Limited,A91530-1 NEB Letter - TransCanada - Station 130 C4 Unit Addition - A6D7R8
Westcoast Energy Inc.,A91544-1 NEB - Letter - Westcoast - Orders XG-W102-014-2018 and MO-050-2018 - Kobes 3 - A6D7W0
ExxonMobil Canada Ltd.,A92163-1 NEB - Letter -  ExxonMobil - Sable - Notice of Public Hearing and Application to Participate - A6E7V5
Enbridge Gas Distribution Inc.,A92205-1 Ltr  to NEB - May 30-18 - A6E8J2
EnCana Corporation,A92750-1 NEB – Letter – Encana – Deep Panuke – Notice of Public Hearing and Application to Participate - A6F6F5
Tundra Energy Marketing Limited,A92783-5 NEB - Letter to TEML Westpur Pipelines Limited - Errata for Order MO-063-2018 - A6H1G5
NOVA Gas Transmission Ltd.,A92839-1 NEB Letter - NGTL - 2021 System Expansion - Notice of Public Hearing and Application to Participate - A6F7S6
Powerex Corp,A92927-1 Letter - A6F8X0
Canada Inc.,A93022-2 Squamish Traditional Use and Occupancy Study - A6G0C8
ExxonMobil Canada Ltd.,A93053-1 NEB – Letter – ExxonMobil. - MH-047-2018 - A6G0Q2
"Tracel Energy Marketing Inc., on behalf of Tracel Energy Marketing Limited Partnership",A93064-1 Letter - A6G0U2
ExxonMobil Canada Ltd.,A93088-1 NEB – Letter – ExxonMobil - Completeness and Timelines - SOEP - MH-047-2018 - A6G1H2
ExxonMobil Canada Ltd.,A93129-1 Letter - A6G1W1
NOVA Gas Transmission Ltd.,A93220-13 NEB – Letter to English River Dene Nation – NOVA Gas – Wiau Lake North Sales Meter Station - A6G3I6
,A93404-1 NEB Letter to All Companies - Recommendations to Improve Quality Assurance of Quenched and Tempered Pipelines Fittings - White Paper - A6G6C3
Powerex Corp,"A93901-1 Ltr to NEB encl La Source tear sheet, September 6, 2018 - A6H3K7"
ExxonMobil Canada Ltd.,A93983-1 NEB – Letter – Participants - MH-047-2018 and MH-049-2018 – SOEP Deep Panuke - Adjournment of OTE - A6H4S7
Trans Mountain Pipeline ULC,A94120-1 Letter to NEB re Abeyance Request 21Sep2018 - A6H7C1
,A94473-1 2018 10 03 - Letter to NEB re reconsideration - Final - A6I2F1
,"A94477-1 Reconsideration Comments on Four Matters in Response to National Energy Board Letter of September 25, 2018 - A6I2F8"
,A95108-17 Letter - A6J3A4
,A95108-19 Letter - A6J3A6
,A95108-4 Letter - A6J2Y8
,A95149-37 Letter - A6J4A1
Trans Mountain Pipeline ULC,A95187-3 NEB Appendix 1  - Trans Mountain Expansion - Reconsideration - reasons for marine shipping between the WMT and the 12-nautical-mile territorial sea limit - A6J4X5
Trans Mountain Pipeline ULC,A95187-4 ONÉ Annexe 1 - agrandissement du réseau de Trans Mountain - Réexamen - motifs de la navigation maritime entre le TMW et la limite de la mer territoriale de 12 milles marins - A6J4X4
Ferus Natural Gas Fuels Inc.,A95279-1 Letter - A6J6F1
TransCanada PipeLines Limited,A95496-1 Letter to NOVA Gas Transmission Ltd. Buffalo Creek B3 and Goodfish A2 Compressor Station - Legislated Time Limit and Decision on Process - A6K0Q3
ExxonMobil Canada Ltd.,A95613-1 NEB – Letter - ExxonMobil – Potential Conditions for Comment - MH-047-2018 - A6K2R6
EnCana Corporation,A95614-1 NEB - Letter to Encana – Potential Conditions for comment - Deep Panuke - MH-049-2018 - A6K2S1
,A95783-37 Letter - A6K5Q5
Canada Inc.,A96155-1 NEB - Letter - Trans Mountain - TMEP - Abeyance of Orders and Application Processes - A6L0Y0
,"A96206-1 TQM - Updated Toll Schedules Effective January 1, 2019 - A6L1S3"
,A96485-1 Pro Information Pro Environment united People Netowrk Opening Statement - A6L7S3
Trans Mountain Pipeline ULC,A96486-1 Reconsideration Hearing MH 052 2018 DIRECT EVIDENCE Pro Information Pro Environment United People Network - A6L7T2
Westcoast Energy Inc.,A96658-1 NEB - Ruling No. 1 - Westcoast - T-South 2018 - A6Q0R3
,A96688-2 Yarrow Ecovillage Opening Statement NEB Re-review of TMX - A6Q1D6
Powerex Corp,A96844-1 NEB – Letter – Powerex Corp. – Electricity Export Permit - A6Q3Q1
Trans Mountain Pipeline ULC,A97076-1 NEB – Letter – TMPU – Order FRO-002-2017 Replacement Plan – Comment Process - A6Q7G2
,A97110-1 Letter to NEB re Publication of Notice of Hearing - A6Q7R2
Hydro-Quebec,A97304-1 Letter - A6R0A8
TransCanada Keystone Pipeline GP Ltd.,A97456-1 NEB - Letter - TransCanada - Keystone XL - OC-56 Pre-Construction Conditions - A6R2U1
,A97476-1 Cover Letter NBJ LTFP Application - A6R3A0
,A97977-1 NEB Letter - All Parties - Reconsideration - Trans Mountain Expansion - Release of the National Energy Board Reconsideration Report - MH-052-2018 - A6S1I2
TransCanada Keystone Pipeline GP Ltd.,A98169-1 Letter - TransCanada - Keystone XL - IR No. 3 - A6S4T7
Trans Mountain Pipeline ULC,A98346-1 NEB – Letter – Errata to NEB Reconsideration Report MH-052-2018 – Trans Mountain Expansion - A6S7J8
,A98918-1 Letter - A6T6I5
,A98920-1 Letter - A6T6I9
,A98929-1 NEB Letter - Order RO-EPE-438 - Tracel Energy Marketing Inc. - revocation of Electricity Export Permit - A6T6T0
Westcoast Energy Inc.,A99026-11 Letter to Nazko First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8R0
Westcoast Energy Inc.,A99026-13 Letter to Tl esqox First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8R2
Westcoast Energy Inc.,A99026-15 Letter to Tsilhqot in National Government - 4BL Cottonwood River Crossover Assembly Project - A6T8R4
Westcoast Energy Inc.,A99026-17 Letter to Esdilagh First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8R6
Westcoast Energy Inc.,A99026-1 Letter to Carrier Chilcotin Tribal Council - 4BL Cottonwood River Crossover Assembly Project - A6T8Q0
Westcoast Energy Inc.,A99026-3 Letter to Lhoosk uz Dene First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8Q2
Westcoast Energy Inc.,A99026-5 Letter to Lhtakot en First Nation - 4BL Cottonwood River Crossover Assembly Project - A6T8Q4
Westcoast Energy Inc.,A99026-7 Letter to Métis Nation of British Columbia - 4BL Cottonwood River Crossover Assembly Project - A6T8Q6
Westcoast Energy Inc.,A99026-9 Letter to Métis Nation of British Columbia - North Central Region - 4BL Cottonwood River Crossover Assembly Project - A6T8Q8
NOVA Gas Transmission Ltd.,A99070-1 NGTL Pipeline Trust Revised SIPP - A6T9D7
TransCanada PipeLines Limited,A99071-1 TransCanada Pipeline Trust Revised SIPP - A6T9D9
Foothills Pipe Lines Ltd,A99072-1 Foothills Pipeline Trust Revised SIPP - A6T9E1
Powerex Corp,A99222-1 NEB Letter - Powerex - Permit EPE-441 - variance of letter decision dated 19 December 2018 - A6U1S5
,A99363-1 NEB Letter - Order AO-001-EPE-426 - CECU - variance to transfer to Citigroup Commodities Canada ULC - A6U3S2
Westcoast Energy Inc.,A99494-1 Letter on oral indigenous knowledge - A6U5U9
Westcoast Energy Inc.,A99654-1 NEB – Letter – Westcoast – Sale of Certain Gathering and Processing Facilities – Notice of Written Comment Process - A6U8E2
TransCanada PipeLines Limited,A99729-1 NEB – Letter – NOVA Gas – Edson Mainline Expansion - A6U9E8
NOVA Gas Transmission Ltd.,A99730-1 NEB - Letter - NOVA Gas - North Corridor - A6U9F1
Aurora Liquefied Natural Gas Ltd.,Aurora Liquefied Natural Gas Ltd. - NEB letter - A3S9Q8
NOVA Gas Transmission Ltd.,B-05 - Confirmation of Publication Dates Horn River - A1S7Z8 
Enbridge Pipelines Inc.,B-08 - Confirmation of Public Notices - A2K5U1
SemCAMS Redwillow ULC,B-25 - SemCAMS Letter re Publication Dates A1H3H2
Emera Brunswick Pipeline Company Ltd.,B-2A Letter - Amendment to March 19 Filing (A1E1T1)
NOVA Gas Transmission Ltd.,B-2  - NOVA Gas s publication confirmation  (A1K4X4)
EnCana Ekwan Pipeline Inc.,B-33g - Attachments 6 7 8 9 - A1L3F6 
Canada Limited,B-33h - Attachments 10 11 12 13 14 - A1L3F7 
SemCAMS Redwillow ULC,B-3 - Service of Hearing Notice Letter - A1D4V3
,B-4A Letter - Galbraith 1 and 2 - Publication Notification (A1E6G9)
TransCanada Keystone Pipeline GP Ltd.,B-8 - Letter to stakeholders regarding the OH-1-2009 Hearing - A1J9V0
Enbridge Pipelines Inc.,B10-01 - Letter to NEB Re Notice of Publication - A4J9V1
TransCanada PipeLines Limited,B10-01 NGTL Letter to NEB - Continued Engagement - A4S1I3
,B15-01 -  Cover Letter - A4I1W0
Enbridge Pipelines Inc.,B15-04 -  Letter - A4I1W3
TransCanada PipeLines Limited,B2  - 2011 10 07 Pre-Hearing Planning Conference Participation A2F1C5
TransCanada PipeLines Limited,B3-01 KNCP Project - Confirmation of Publication - A4F7F6
CANADA LTD.,"B34-2 -  Letter to NEB re Response to the Notice of Motion by L Quarmby et. al. Dated May 6, 2014  Attachment 1 - A3X0T2"
Enbridge Pipelines Inc.,B3 - Letter to NEB regarding bibliotheque de Montreal - A3F8G1  
NOVA Gas Transmission Ltd.,B4-1 Wolverine Lateral Loop (Carmon Creek Section) Application - Notice of Publication Letter - A3X4S1
TransCanada PipeLines Limited,B4  - 2011-10-13 -  NEB publication confirmation A2F2X6
,B53-1 - 2011-12-15 - Northern Gateway Letter - Response to BC Nature Motion - A2J9A9
,B6 - TM letter to NEB re Public Notice 2 Oct - A3A7E8 
Enbridge Pipelines Inc.,B7 - Letter to NEB re Confirmation of Public Notices - A3G0K7
Enbridge Pipelines Inc.,B9-01 - Letter to Ladowner- A4J2W1
Trans Mountain Pipeline ULC,C-06-01 - Devon Canada Corp Application to Participate  - A3S7X5
TransCanada Keystone Pipeline GP Ltd.,C-10-12c  - Book of Authorities (A1L3G1)
Enbridge Pipelines (Westspur) Inc.,C-10-5  - Letter dated 2 April 07 to Jim Prentice A0Y5E2   
,C-4-4A - Letter to NEB from public re OH-005-2011.2012.04.20 - A2S4Y7 
Westcoast Energy Inc.,C00015-1 Letter to NEB re Westcoast Confirmation of Service - A6V3D4
Trans-Northern Pipelines Inc,C00078-1 LT NEB re TNPI Application for Review of Board Orders - A6V4Q0
Trans Mountain Pipeline ULC,C00457-1 Trans Mountain Cover Letter PPBoR Sec 34 Notice Filing - A6V9Q0
,"C00593-3 NEB Appendix 1 - Trans Mountain Expansion - Decisions on resuming the TMEP regulatory processes - More information on applications for review, including filing instructions - English and French included  -"
,C00600-1 NEB Letter - Trans Mountain - Trans Mountain Expansion - OC-065 - Form of PPBoR and sample section 34 notices - A6W2A6
Trans Mountain Pipeline ULC,C00680-1 Trans Mountain letter re Segmented PPBoR Schedule (July 2019) - A6W3J1
Canada Inc.,C01096-1 Trans Mountain Pipeline ULC Letter to NEB regarding completion of Segment 1 Section 34(1) notice service and publication - A6W9W7
,C01240-1 NEB - Letter - Trans Mountain - Trans Mountain Expansion - NEB Decision No. 2 - A6X2L7
,C01502-2 Appendix - Trans Mountain Segment 7 Tearsheets - A6X5V4
,C01613-1 CER – Letter - IPLs - Order MO-040-2019 - A6X7R0
,C01613-5 CER – Letter - Order MO-041-2019 - IPLs - A6X7R4
,C01676-2 Appendix 2-1 - Trans Mountain Segment 3 Tear Sheets - A6X8H8
,C01676-3 Appendix 2-2 - Trans Mountain Segment 4 Tear Sheets - A6X8H9
,C01676-4 Appendix 2-3 - Trans Mountain Segment 5 Tear Sheets - A6X8I0
,C01676-5 Appendix 2-4 - Trans Mountain Segment 6 Tear Sheets - A6X8I1
,C01676-6 Appendix 2-5 - Trans Mountain Segment 7 Tear Sheets - A6X8I2
Canada Energy Regulator,C02192-1 Letter - A6Y6G5
,C02297-19 CER – Letter to Kesyehot’ne First Nation – NOVA Gas – Saddle Lake – Cold Lake Section - A6Y7Y9
,C03002-1 CER – Letter to NOVA Gas – Edson Mainline Loop 2 - Condition 3 of Order MO-063-2015 - A6Z9L7
Trans Mountain Pipeline ULC,C03035-1 Cover Letter - Detailed Route Hearings - Segment 2 - A7A0A6
Canada Energy Regulator,C03077-1 Letter to CER re Segment 2 Notice Publication Dates - A7A0T4
Trans Mountain Pipeline ULC,C03151-1 Cover Letter - Detailed Route Hearings - Segment 3 and Segment 4 - A7A1V9
Canada Energy Regulator,C03319-1 Confirmation of Publication of Notice of Hearing (Segment 2) - A7A4H8
Canada Energy Regulator,C03320-1 Confirmation of Publication of Notice of Hearing (Segment 3 and 4) - A7A4I0
,C03369-1 CER - Letter - CLFN - MIPL(C)L Pierceland Project - NOVA Gas - Saddle Lake Project - A7A5C4
Canada Energy Regulator,C03495-1 Letter to CER re Transcript Corrections - A7A7D1
Canada Energy Regulator,C03575-1 Letter - A7A8E9
NOVA Gas Transmission Ltd.,C03857-1 Letter to Samson Cree Nation - Errata to Final Argument - A7C2C4
Canada Energy Regulator,"C03892-1 Letter to CER re Coldwater Detailed Route Hearing (December 23, 2019) - A7C2L8"
Canada Energy Regulator,C03901-1 Letter to CER - Amendment to the Westcoast Pipeline Tariff - A7C2V4
Manitoba Hydro,C03906-1 Letter to Manitoba Hydro-Electric Board - Export Electricity as a border accommodation - A7C2W8
Many Islands Pipe Lines (Canada) Limited,"C04007-1 CER January 8, 2020 LL10749 - A7C4S7"
