,Company
710,Marketing D'Énergie HQ Inc - HQ Energy Marketing Inc
711,Marketing D'énergie HQ Inc.
712,Masefield Canada Inc
713,McAsphalt Industries Limited
714,Mercuria Commodities Canada Corporation
715,Mercuria Energy Canada Inc.
716,Merrill Lynch Commodities Canada ULC
717,Merrill Lynch Commodities Inc
718,Merrill Lynch Commodities Inc.
719,"Metromedia Energy, Inc."
720,Michigan Consolidated Gas Company
721,Michigan Crystal Flash Petroleum Corporation
722,Mid-Continent Pipelines Limited
723,Midwest Industrial Asphalt Inc.
724,Mieco Inc.
725,Minell Pipeline Ltd
726,Minell Pipelines Ltd.
727,Minnesota Energy Resources Corporation
728,Mobil Oil Canada Limited
729,Mobile Energy Group Corporation
730,Moneta Energy Services Ltd
731,Montana Alberta Tie Ltd.
732,Montana Refining Company Inc
733,Montana Refining Corporation Inc
734,Montana-Dakota Utilities Co A Division of MDU Resources Group Inc.
735,Montenay Inc.
736,Montreal Pipe Line Limited
737,Morgan Stanley Capital Group Inc
738,Morgan Stanley Capital Group Inc.
739,Mosbacher Operating Ltd
740,Motus Petroleum Ltd.
741,Murphy Atlantic Offshore Oil Company
742,Murphy Oil Company Ltd
743,Murphy Oil Company Ltd.
744,Murphy Oil USA Inc
745,Musket Canada Inc
746,Musket Canada ULC
747,NARL Marketing Limited Partnership
748,"NARL REFINING INC., as the general partner of NARL Refining Limited Partnership"
749,NB Petro Inc
750,NEXEN INC. (formerly Nexen Canada Ltd)
751,NGL Crude Canada ULC
752,NGL Crude Logistics LLC
753,NGL Supply Co Ltd
754,NGL Supply Co. Ltd
755,NGL Supply Wholesale LLC
756,"NGL Supply Wholesale, LLC"
757,NJR Energy Services Company
758,NOCO Energy Corp.
759,NOCO Energy Corporation
760,NOVA Chemicals (Canada) Ltd.
761,NOVA Chemicals Canada Ltd
762,NOVA Gas Transmission Ltd.
763,NRG Energy Inc
764,NRG Power Marketing LLC
765,NRG Power Marketing LLC - formerly NRG Power Marketing Inc
766,NSR International Trading Inc
767,NYSEG Solutions Inc
768,"NYSEG Solutions, LLC"
769,Nalcor Energy (Changed name to Nalcor Energy Marketing Corporation)
770,Nalcor Energy Marketing Corporation (formerly Nalcor Energy )
771,"Narragansett Electric Company d/b/a National Grid, The"
772,National Cooperative Refinery Association
773,National Fuel Gas Distribution Corporation
774,National Fuel Marketing Company LLC
775,National Fuel Resources Inc
776,New Brunswick Electric Power Commission
777,New Brunswick Energy Marketing Corporation
778,New Brunswick Power Corporation
779,New Brunswick Power Generation Corporation
780,New Brunswick Power Transmission Corporation (formerly New Brunswick Power Corporation)
781,New Brunswick System Operator
782,New York Energy Savings Corp
783,New York Power Authority
784,New York State Electric & Gas Corporation
785,NewTimes Energy Ltd
786,Nexen Energy Marketing USA Inc.
787,Nexen Inc.
788,Nexen Marketing
789,NextEra Energy Power Marketing LLC
790,NextEra Energy Power Marketing LLC (formerly FPL Energy Power Marketing LLC)
791,Niagara Gas Transmission Limited
792,Niagara Mohawk Power Corporation d-b-a National Grid
793,Noble Americas Corp
794,Noble Americas Gas & Power Corp
795,Noble Americas Gas & Power Corp.
796,Noble Americas Gas and Power Corp
797,Noble Energy Marketing and Trade Corp
798,Norcan Petroleum Products GP
799,Norsk Hydro Crude Marketing Inc
800,North  Petro Ltd
801,North Atlantic Refining Limited
802,North Canadian Oils Limited
803,"North Collins Cylinder Gas Co., Inc."
804,"North Dakota LNG, LLC"
805,NorthPoint Energy Solutions Inc.
806,Northcrest Forest Products Ltd
807,Northeast Gas Markets LLC
808,Northern Blizzard Resources Inc.
809,Northern Canada Power Commission
810,"Northern Gateway Pipelines Inc., as General Partner of Northern Gateway Pipelines Limited Partnership"
811,Northern States Power Company (Minnesota)
812,"Northern States Power Company, a Minnesota corporation"
813,Northern Transportation Company Limited
814,"Northern Utilities, Inc."
815,"Northern Utilities, Inc. (Unitil Service Corp.)"
816,Northridge Petroleum Marketing Inc
817,Northstar Energy Corporation
818,Northwest Natural Gas Company
819,Nova Scotia Power Inc
820,Novagas Canada Ltd
821,Novagas Clearinghouse Pipelines Ltd
822,NuStar Marketing LLC
823,NuStar Supply and Trade LLC.
824,NuStar Supply and Trading LLC.
825,NuVista Energy Ltd.
826,Nutreco Canada Inc
827,Nutreco Canada Inc.
828,OGE Energy Resources Inc
829,"OGE Energy Resources, Inc."
830,OMERS Resources Limited
831,ONEOK Energy Services Canada Ltd
832,"ONEOK Energy Services Company, LP (on behalf of ONEOK Energy Services Company, II)"
833,ONEOK Rockies Processing Company (Canada) Ltd.
834,OTG (On The Ground) Sourcing Inc.
835,Oasis Energy Group Ltd.
836,Obsidian Energy Ltd.
837,Olco Petroleum Group Inc (Changed name to Olco Petroleum Group ULC)
838,Olco Petroleum Group ULC (Formerly Olco Petroleum Group Inc.)
839,Omimex Canada Ltd
840,Omimex Canada Ltd.
841,"Omimex Canada, Ltd."
842,Ontario Hydro
843,Ontario Limited
844,Ontario Power Generation Inc.
845,Orca LNG Ltd.
846,"Oregon LNG Marketing Company, LLC"
847,Oxy Energy Canada Inc
848,PAA Natural Gas Canada ULC
849,PBF Energy Limited
850,PBF Holding Company LLC
851,PDV Midwest Refining LLC
852,PES Refining and Marketing LLC
853,PKM Cochin ULC
854,PMC (Nova Scotia) Company
855,"PMC (Nova Scotia) Company (on behalf of Plains Marketing Canada, L.P.)"
856,"PPL EnergyPlus LLC (""PPL"")"
857,PacifiCorp
858,Pacific East Energy Ltd.
859,"Pacific Energy Partners, L.P."
860,Pacific Gas and Electric Company
861,Pacific NorthWest LNG Ltd. as General Partner of the Pacific NorthWest LNG Limited Partnership
862,Pacific Northern Gas Ltd.
863,Pacific Prime LNG Inc.
864,Pacific Summit Energy LLC
865,Pacific Traverse Energy Ltd.
866,Palmer Gas Company Inc
867,Pan-Alberta Gas Ltd
868,PanCanadian Energy Corporation (name change to EnCana Corporation)
869,PanTerra Resource Corp
870,"Panhandle Eastern Pipe Line Company, LP"
871,Paramount Transmission Ltd
872,Paramount Transmission Ltd.
873,Parkland Refining (B.C.) Ltd
874,Parnon Energy Inc.
875,"Peaker Energy Marketing, LLC"
876,Pembina Energy Services Inc.
877,Pembina Marketing Ltd.
878,Pembina NGL Corporation
879,"Pembina NGL Corporation and Pembina Resource Services Canada, by its managing partner  Alberta Ltd."
880,Pembina North Limited Partnership
881,Pembina Pipeline Corporation
882,Pembina Prairie Facilities Ltd.
883,Pembina Prairie Facilities Ltd. (formerly) Vantage Pipeline Canada ULC
884,Pembina Resource Services Canada
885,Pembina Resource Services GP Inc.
886,Pendo Energy Marketing Ltd.
887,Pengrowth Corporation
888,Pengrowth Energy Corporation
889,"Peninsual Power, LLC"
890,"Peninsula Energy Logistics, LLC"
891,Penn West Petroleum Ltd.
892,Petro Canada
893,Petro Canada USA Inc
894,"Petro Harvester Operating Company, LLC"
895,Petro-Canada Oil and Gas
896,PetroBakken Energy Ltd.
897,PetroChina International (America) Inc.
898,"PetroChina International (America), Inc."
899,PetroChina International (Canada) Trading Ltd
900,PetroChina International (Canada) Trading Ltd.
901,PetroChina International America Inc
902,PetroChina International Canada Trading Ltd
903,PetroLama Energy Canada Inc
904,Petroder Logistics LLC
905,Petrogas Energy Corp.
906,Petrogas Energy Corp. formerly Petrogas Marketing Ltd.
907,Petrogas Inc.
908,Petrogas Marketing LTD
909,Petrogas Marketing Ltd
910,Petrolama Energy Canada Inc
911,Petroleum Logistics Inc
912,Petroleum Transmission Company
913,Petrosol International Inc.
914,Petrovera Resources Ltd.
915,Phibro LLC
916,Philadelphia Energy Solutions Refining and Marketing LLC
917,Phillips  Canada Ltd.
918,Phillips  Canada ULC
919,Phillips  Company
920,Phillips  Compnay
921,Pieridae Alberta Production Ltd.
922,Pieridae Energy (Canada) Ltd
923,Pine Cliff Border Pipelines Limited
924,Pine Cliff Energy Ltd
925,Pine Cliff Energy Ltd.
926,Pioneer Natural Resources Canada Inc.
927,Pipestone Energy Corp.
928,Pipestone Pipelines Ltd
929,Pittsfield Generating Company LP
930,Plains Marketing Canada LP
931,"Plains Marketing Canada, L.P."
932,Plains Midstream Canada ULC
933,Plains Midstream Empress Management ULC
934,Planet Energy (New York) Corp.
935,Planet Energy (Ontario) Corp.
936,Planet Energy Corp.
937,Plant-E Corp.
938,Plum Gas Solutions Inc.
939,Poco Petroleum Ltd
940,Point Tupper Marine Services Co.
941,Portal Municipal Gas Company Canada Inc
942,Portal Municipal Gas Company Canada Inc.
943,"Portal, City of"
944,Portland General Electric Company
945,"Potelco, Inc."
946,Pouce Coupe Pipe Line Ltd
947,Pouce Coupé Pipe Line Ltd
948,Pouce Coupé Pipe Line Ltd.
949,Power City Partners LP
950,Power Energy Marketing LLC
951,Power Energy Partners LP
952,Powerex Corp
953,Prairie Schooner Limited Partnership (Amalgamated with True Energy Inc.)
954,Predator Midstream Ltd.
955,Predator Oil BC Ltd.
956,Premstar Energy Canada Limited Partnership
957,Prince Rupert LNG Exports Limited
958,ProGas Limited
959,"ProLiance Energy, LLC"
960,Proax International Ltd.
961,Profico Energy Management Ltd.
962,Progress Energy Canada Ltd.
963,"Prometheus Energy Group, Inc."
964,Prosperity Investments (Canada) Inc.
965,Provident Energy Ltd
966,Provident Energy Ltd.
967,Provident Energy Pipeline Inc.
968,Public Service Company of Colorado
969,Public Utility District No  of Clark County
970,Puget Sound Energy Inc
971,"Puget Sound Energy, Inc."
972,Quality Energy Inc.
973,Quicksilver Resources Canada Inc
974,RBCP Canadian GP Limited
975,"RBCP Canadian GP Limited, as general partner of RBC Energy Services LP"
976,REV LNG LLC
977,RIOENERGY CANADA LTD
978,RLT FUEL DISTRIBUTION INC
979,"RPMG, Inc."
980,Rainbow Energy Marketing Corporation
981,"Rainbow Pipe Line Company, Ltd."
982,Rana Hassan Abbas
983,Regent Resources Ltd
984,Regent Resources Ltd.
985,Reliant Energy Northeast LLC
986,"Reliant Energy Services Canada, Ltd."
987,Renmore Oil Corp
988,Repsol Energy Canada Ltd
989,Repsol Energy Canada Ltd.
990,Repsol Oil & Gas Canada Inc
991,Repsol Oil & Gas Canada Inc on behalf of Repsol Canada Energy Partnership
992,"Repsol Oil & Gas Canada Inc., on behalf of Repsol Canada Energy Parthership"
993,Resolute FP Canada Inc.
994,Resolution Resources Ltd.
995,Revolutionary LNG LLC
996,Rice Energy Marketing LLC
997,Rich Energy Inc.
998,"Rich Energy, Inc."
999,Ricks Nova Scotia Co
1000,Rio Energy International Inc
1001,Rioenergy Canada Ltd.
1002,Riovic Services Ltd
1003,Rochester Gas and Electric Corporation
1004,Rockpoint Gas Storage Canada Ltd.
1005,Roctop Investments Inc.
1006,Rolympus (Canada) Commodities Group ULC
1007,Rolympus (US) Commodities Group LLC
1008,Royal Bank of Canada
1009,Rubicon NYP Corp
1010,Ruger Energy Inc.
1011,S I R Petroleum Inc
1012,"S.A.C. Energy GP, LLC"
1013,SCL Pipeline Inc.
1014,SEACOR Energy Canada Limited
1015,SESCO Enterprises Canada Limited (formerly SESCO Enterprises LLC)
1016,SESCO Enterprises Canada Ltd.
1017,"SESCO Enterprises, LLC (changed to SESCO Enterprises Canada Limited)"
1018,SHEARON ENERGY LLC
1019,SIG Holding LLC (formerly Susquehanna Energy Products LLC)
1020,"SJ Energy Partners, Inc"
1021,SOCAR Trading (North America) LLC
1022,SOCIETE HYDRO-CAN INC
1023,STATOIL NATURAL GAS LLC
1024,SYNERGY Power Marketing Inc.
1025,Sable Offshore Energy Inc
1026,Sacramento Energy Resources LLC
1027,"Sacramento Energy Resources, Ltd."
1028,Sacramento Municipal Utility District
1029,Saint John LNG Development Company Ltd.
1030,SanLing Energy Ltd.
1031,Saracen LLC (on behalf of Saracen Energy Partners LP)(changed name to Saracen Power LLC)
1032,Saracen Merchant Energy LP
1033,Saracen Power LLC (formerly Saracen LLC on behalf of Saracen Energy Partners LP)
1034,Saracen Power LP (formerly Saracen Power LLC)
1035,Saranac Power Partners L.P.
1036,Saskatchewan Power Corporation
1037,Sav-Tech Solvent Inc. o/a Heritage-Crystal Clean
1038,Scotia Capital Energy Inc
1039,Scotia Commodities Inc.
1040,Sea Breeze Victoria Converter Corporation
1041,Secure Energy Services Inc
1042,Selkirk Cogen Partners LP
1043,"Selkirk Cogen Partners, L.P."
1044,SemCAMS Redwillow ULC
1045,SemCanada Crude Company
1046,SemFuel LP
1047,SemStream LP
1048,Sempra Energy & Trading LLC
1049,Sempra Energy Trading (Calgary) ULC
1050,Sempra Energy Trading Calgary ULC
1051,Sempra Energy Trading LLC
1052,Sempra Energy Trading LLC ( Formerly Sempra Energy Trading Corp)
1053,"Sempra Generation, LLC"
1054,"Seneca Resources Company, LLC"
1055,Seneca Resources Corporation
1056,Sequent Energy Canada Corp
1057,Seven Generations Energy Ltd.
1058,Shell Canada Energy
1059,Shell Canada Limited
1060,Shell Canada Limited (on behalf of Shell Canada Products)
1061,Shell Canada Limited as managing partner of Shell Chemicals Canada
1062,Shell Canada Ltd
1063,Shell Canada Ltd as Managing Partner of Shell Canada Energy
1064,Shell Canada Products
1065,Shell Canada Products Limited
1066,"Shell Canada Products, an Alberta general partnership, by its managing partner, Shell Canada Limited"
1067,"Shell Canada Products, an Alberta partnership, by its managing partner, Shell Canada Limited"
1068,Shell Chemicals Canada
1069,Shell Energy North America (Canada) Inc (formerly Coral Energy Canada Inc)
1070,Shell Energy North America (Canada) Inc.
1071,Shell Energy North America (US) Inc.
1072,"Shell Energy North America (US), L.P."
1073,"Shell Trading Canada, a division of Pennzoil Quaker State Canada Inc"
1074,"Shell Trading Canada, an Alberta partnership"
1075,"Shell Trading Canada, an Alberta partnership, by its managing partner, Shell Canada Limited"
1076,Shiha Energy Transmission Ltd
1077,Shiha Energy Transmission Ltd.
1078,Sierra Production Company
1079,"Silver Square Capital, LLC"
1080,Silverhill Ltd.
1081,Simba Industries Transload Ltd
1082,Simba Transload Ltd.
1083,Sinclair Oil Corporation
1084,Sinopec USA Inc.
1085,Sithe Independence Power Partners LP
1086,Sixpoints Shipping Company Ltd.
1087,Socar Trading (Canada) Ltd
1088,Societe Generale Energy Corp.
1089,Societe Generale Energy Inc.
1090,Societe Generale Energy LLC
1091,Société En Commandité Énergie Windmill DREAM Québec Inc.
1092,Société En Commandité Énergie Windmill DREAN Québec Inc. (now Commandité gestion energy Windmill Dream Québec Inc.)
1093,"Société en commandite Gaz Métro (On behalf of Gaz Métro, inc.)"
1094,"Société en commandite Gaz Métro, agissant par son associé commandité Gas Métro inc."
1095,SocïVolta Inc.
1096,Souris Valley Pipeline Limited
1097,"SouthStar Energy Services, LLC"
1098,Southern California Gas Company
1099,"Southern Connecticut Gas Company, The"
1100,Southern Pacific Resource Corp.
1101,"Southwest Energy, L.P."
1102,Spark Energy Canada Corporation
1103,"Spark Energy Gas, LLC"
1104,"Spark Energy Gas, LP dba Associated Energy Services"
1105,Spectra Energy Empress L.P.
1106,Spectra Energy Empress LP
1107,Spectra Energy Empress Management Inc.
1108,Spectra Energy Empress Management Inc. (Formerly Duke Energy Empresss Manangement Inc.)
1109,Spectra Energy Empress Management Inc. as general partner of Spectra Energy Empress L.P.
1110,Spectra Energy Midstream Canada L.P.
1111,Spectra Energy Midstream Canada Partner Corporation
1112,"Split Rock Energy LLC (""SRE"")"
1113,"Spotlight Energy, LLC"
1114,Sprague Energy Corp
1115,Sprague Operating Resources LLC formerly Sprague Energy Corp
1116,Spur Border Pipelines Limited
1117,Spur Resources Ltd
1118,Spyglass Resources Corp.
1119,St. Clair Management Corporation
1120,St. Clair Pipelines Ltd
1121,St. Clair Pipelines Management Inc.
1122,St. Lawrence Gas Company Inc.
1123,St. Paul Park Refining Co. LLC
1124,Star Oil & Gas Ltd.
1125,"Star Tank Lines, Inc."
1126,State Resources Investment Corporation
1127,Statoil Canada Ltd.
1128,Statoil Marketing & Trading (US) Inc
1129,StatoilHydro Canada Ltd
1130,Steel Reef Pipelines Canada Corp.
1131,Steelhead LNG (A) Inc.
1132,Steelhead LNG (B) Inc
1133,Steelhead LNG (C) Inc.
1134,Steelhead LNG (D) Inc.
1135,Steelhead LNG (E) Inc.
1136,Steppe Petroleum Inc
1137,Steppe Petroleum Inc.
1138,Stittco Energy Limited
1139,Stolt LNGaz Inc.
1140,Strategic Oil & Gas Ltd.
1141,Strategic Transmission Ltd.
1142,"Suez Energy Marketing NA, Inc. (formerly Tractebel Energy Marketing, Inc.)"
1143,Suez Marketing LLC
1144,Sumas Energy  Inc
1145,Summitt Energy Management Inc.
1146,Suncor Energy Inc
1147,Suncor Energy Inc.
1148,"Suncor Energy Inc., for and on behalf of Suncor Energy Products Partnership"
1149,Suncor Energy Marketing Inc
1150,Suncor Energy Marketing Inc.
1151,Suncor Energy Marketing Inc./Suncor Energy Inc.
1152,Suncor Energy Products Inc
1153,Suncor Energy Products Partnership Inc
1154,"Suncor Energy Products Partnership, a general partnership by its partner, Suncor Energy Products Inc."
1155,"Suncor Energy Products Partnership, as a general partnership by its partner, Suncor Energy Products Inc."
1156,Suncor Energy USA Inc
1157,Sunoco Inc R and M
1158,Sunoco Logistics Partners Operations GP LLC on behalf of Sunoco Pipeline LP
1159,"Sunoco Partners Marketing & Terminals, L.P."
1160,Sunoco Pipeline L.P.
1161,Sunshine Wave Investment Inc.
1162,Sunwest Canada Energy Limited
1163,Sunwest Energy Corp.
1164,Sunwest Environmental Corporation
1165,Superior Crude Trading Company
1166,Superior Gas Liquids
1167,"Superior Gas Liquids, a division of Superior Gas Liquids Partnership"
1168,"Superior General Partner Inc., on behalf of Superior Plus LP"
1169,Superior Plus Energy Services Inc.
1170,Superior Plus L P
1171,Superior Plus LP Operating as Superior Gas Liquids
1172,"Susquehanna Energy Products, LLC (changed name to SIG Holding LLC)"
1173,Sword Energy Limited
1174,Synergy Liquids LLC
1175,TAQA NORTH Ltd.
1176,TAQA NORTH by its managing partner TAQA NORTH Ltd.
1177,TAQA North Ltd.
1178,"TC Ravenswood, LLC"
1179,TCF Holding AG
1180,TEC Energy Inc.
1181,TEML Westspur Pipelines Limited
1182,THRIWING CAPITAL CORP.
1183,"TOTAL Gas & Power North America, Inc."
1184,"TXPC, LLC"
1185,"Talen Energy Marketing, LLC"
1186,Talisman Energy Inc
1187,Talisman Energy Inc.
1188,Talisman Energy Inc. on behalf of Talisman Energy Canada
1189,Tamarack Acquisition Corp.
1190,Taqa North Ltd
1191,"Targa Canada Liquids, Inc."
1192,Targa Downstream LP
1193,Targa Liquids Marketing and Trade
1194,Targa Resources Inc
1195,Targa Transport LLC
1196,Targray Americas Inc.
1197,Taurus Exploration Canada Ltd.
1198,Teck Canadian Energy Sales Limited
1199,Teck Cominco Metals Ltd. (changed name to Teck Metals Ltd.)
1200,Teck Metals Ltd. (formerly Teck Cominco Metals Ltd.)
1201,Tenaska Marketing Canada
1202,"Tenaska Marketing Canada, a division of Tenaska Marketing Ventures Corp."
1203,Tenaska Power Canada
1204,Tennessee Gas Pipeline Company
1205,Terasen Gas Inc (Changed name to FortisBC Energy Inc)
1206,Terasen Gas Inc.
1207,Terasen Huntingdon Inc.
1208,Terasen Pipelines (Trans Mountain) Inc. (Name changed to Trans Mountain Pipeline Inc.)
1209,Terra Energy Corp.
1210,Tervita Corporation
1211,Tervita LLC
1212,Tesoro Canada Supply and Distribution
1213,Tesoro Canada Supply and Distribution Ltd
1214,TexPar Energy LLC
1215,Texadian Energy Canada Limited
1216,Texas Liquids Partners LLC
1217,Texas Power GP LLC (changed name to J.P. Morgan Commodities Canada Corporation
1218,Texon Canada ULC
1219,The Queen in Right of the Province of New Brunswick
1220,The Redwood Group LLC
1221,Thompson Mitchell Ironworks
1222,Tidal Energy Marketing Inc
1223,Tidal Energy Marketing Inc.
1224,Tidal Energy Marketing US LLC
1225,Tidewater Midstream and Infrastructure Ltd
1226,Tidewater Midstream and Infrastructure Ltd.
1227,Titan Gas LLC
1228,Toledo Refining Company LLC
1229,Tombstone Energy Solutions Ltd.
1230,"Tombstone Energy Solutions, LP"
1231,Top Speed Energy BC Corp
1232,"Total Trading and Maketing Canada LP, by its general partner Total Canada Limited"
1233,Total Trading and Marketing Canada LP
1234,Tourmaline Oil Corp
1235,"Tracel Energy Marketing Inc., on behalf of Tracel Energy Marketing Limited Partnership"
1236,Trading and Transportation Management LLC
1237,Trafigura A.G.
1238,Trafigura AG
1239,Trafigura Canada General Partnership
1240,Trafigura Canada General Partnership by its Managing Partner Trafigura Marketing Ltd
1241,Trafigura Trading LLC
1242,TrailStone Power LLC
1243,"TranAsia Global LNG, LLC"
1244,Trans Mountain Pipe Line Company Ltd (Name changed to Trans Mountain Pipeline Inc.)
1245,Trans Mountain Pipe Line Company Ltd. (Name changed to Trans Mountain Pipeline Inc.)
1246,Trans Mountain Pipeline Inc.
1247,Trans Mountain Pipeline ULC
1248,Trans Québec & Maritimes Pipeline Inc
1249,Trans-Northern Pipelines Inc
1250,Trans-Northern Pipelines Inc.
1251,TransAlta Energy Marketing Corp.
1252,TransCanada Energy Ltd
1253,TransCanada Energy Ltd.
1254,TransCanada Energy Marketing Ltd (formerly TransCanada Energy Ltd)
1255,TransCanada Energy Marketing ULC (formerly TransCanada Energy Marketing Ltd)
1256,TransCanada Energy Sales Ltd.
1257,"TransCanada Gas Storage USA, Inc."
1258,TransCanada Keystone Pipeline GP Ltd.
1259,TransCanada Liquids Marketing Ltd
1260,TransCanada PipeLines Limited
1261,TransCanada PipeLines Limited B.C. System
1262,TransCanada Power Corp
1263,"TransCanada Power Marketing Inc. ""TCPM"""
1264,TransCanada Power Marketing Ltd.
1265,TransGas Limited
1266,TransMontaigne Product Services Inc.
1267,Transmontaigne Marketing Canada Inc.
1268,Travlan Energy LLC
1269,Triton LNG Limited Partnership
1270,True Energy Inc
1271,True Energy Inc.
1272,True North Energy Corporation
1273,Tundra Energy Marketing Limited
1274,Tundra Oil & Gas Limited
1275,Tundra Oil & Gas Limited on behalf of Tundra Oil & Gas Partnership
1276,Tundra Oil & Gas Partnership
1277,Twin Cities Power - Canada ULC
1278,"Twin Cities Power - Canada, Ltd."
1279,Twin Eagle Crude and Leasehold Gathering LLC
1280,Twin Eagle Midstream Assets LLC
1281,Twin Eagle Resource Management Canada LLC
1282,"Twin Eagle Resource Management Canada, LLC"
1283,"Twin Eagle Resource Management, LLC"
1284,Twin Rivers Paper Company Inc
1285,Twin Rivers Paper Company Inc.
1286,"U.S. Gas & Electric, Inc."
1287,UBS AG
1288,UBS Warburg Energy Canada Ltd.
1289,UET CanaRail ULC
1290,"UET CanaRail, ULC"
1291,UGI Energy Services LLC
1292,US Oil & Refining Co
1293,US Oil Co Inc
1294,US Oil Trading LLC
1295,US Venture Inc.
1296,USD Marketing LLC
1297,"USGen New England, Inc."
1298,Ultramar Ltd
1299,Union Gas Limited
1300,Union Import Export
1301,Unipec America Inc
1302,Uniper Global Commodities North America LLC
1303,Uniper Trading Canada Ltd.
1304,United Energy Trading Canada ULC
1305,"United Energy Trading Canada, ULC"
1306,United Liquid Gas Company dba United Pacific Energy
1307,United Refining Company
1308,United States Gypsum Company
1309,Utexam Limited
1310,V.P. Morgan Trading & Transportation Management
1311,Valero Marketing And Supply Company
1312,Vantage Pipeline Canada ULC
1313,Vault Energy Inc.
1314,Vector Pipeline Limited Partnership
1315,Venturion Oil Limited
1316,Veresen Energy Infrastructure Inc
1317,Veresen Energy Infrastructure Inc.
1318,Veresen Energy Pipeline Inc.
1319,Veresen NGL Pipeline Inc.
1320,Vermilion Energy Inc
1321,Vermilion Energy Inc.
1322,Vermont Gas Systems Inc
1323,Vista Energy Marketing LP
1324,Vitol Inc
1325,Vitol Inc.
1326,WCC LNG Ltd.
1327,"WPS Canada Generation, Inc."
1328,"WPS Energy Services, Inc. (name change to Integrys Energy Services, Inc.)"
1329,"WPX Energy Marketing, LLC"
1330,Warner Petroleum Corporation
1331,WesPac Midstream-Vancouver LLC
1332,West Oaks Energy NY-NE LP
1333,Westcoast Energy Inc.
1334,Westcoast Gas Services Inc.
1335,Western Alliance Tubulars Ltd.
1336,Western Gas Marketing Limited
1337,Western Petroleum Company
1338,Westover Express Pipeline Limited
1339,White Arrow Service Stations
1340,"White Mountain Oil Co., Inc."
1341,Whitecap Resources Inc.
1342,Wild Stream Exploration Inc.
1343,"Williams Energy (Canada) Pipeline, Inc."
1344,"Williams Energy (Canada), Inc."
1345,Williams Energy Canada ULC
1346,"Williams Energy Marketing & Trading Canada, Inc."
1347,Williams Gas Marketing Inc
1348,Williams Horizon Offgas ULC
1349,"Williston Hunter Canada, Inc."
1350,Windmill Green Fund LP V
1351,Windsor Detroit Borderlink Limited
1352,Windsor Storage Faculity Joint Venture
1353,Windstar LPG Inc
1354,Wisconsin Public Service Corporation
1355,Woodfibre LNG Export Pte. Ltd.
1356,Woodside Energy Holdings Pty Ltd.
1357,World Fuel Services Canada Inc
1358,World Fuel Services Canada ULC
1359,"World Fuel Services, Inc."
1360,Xpress Natural Gas LLC
1361,Yankee Gas Services Company
1362,Yoho Resources Inc
1363,Yoho Resources Inc.
1364,Young YZ International Holding LTD.
1365,Yudinn Energy Inc.
1366,Yukon Pipelines Limited
1367,rich together asset management ltd
1368,ÉNERGIE VALERO INC.
