,Company
711,Huntingdon International Pipeline Corporation (HIPCO)
712,Huron Energy Corporation
713,Husky Energy Marketing Inc
714,Husky Energy Marketing Inc
715,Husky Energy Marketing Inc.
716,Husky Energy Marketing Inc.
717,Husky Gas Marketing Inc.
718,Husky Marketing and Supply Company
719,Husky Marketing and Supply Company
720,Husky Oil Limited
721,Husky Oil Marketing Company
722,Husky Oil Operations Limited
723,Husky Oil Operations Limited
724,Husky Oil Operations Limited
725,Husky Oil Operations Limited
726,Husky Oil Operations Limited
727,Husky Oil Operations Limited
728,Husky Oil Operations Limited
729,Husky Oil Operations Ltd
730,Husky Oil Operations Ltd.
731,Hydro One Delivery Services Inc.
732,Hydro One Networks Inc.
733,Hydro-Quebec
734,Hydro-Québec
735,Hydro-Québec TransÉnergie
736,Iberdrola Canada Energy Services Inc
737,"Iberdrola Canada Energy Services, Inc."
738,"Iberdrola Canada Energy Services, Ltd"
739,"Iberdrola Energy Services, LLC"
740,Iberdrola Renewables Inc
741,Idaho Power Company
742,Idemitsu Apollo Corporation
743,IGI Canada Corp
744,IGI Resources Inc
745,Ikkuma Resouces Corp.
746,Ikkuma Resources Corp - (Formerly) Panterra Resource Corp.
747,Imperial Oil
748,Imperial Oil Limited
749,Imperial Oil Resources Limited
750,Imperial Oil Resources Limited
751,Imperial Oil Resources Limited
752,Imperial Oil Resources Limited in its capacity as general and limited partner of Imperial Oil Resources
753,Imperial Oil Resources Ventures Limited
754,Imperial Oil Resources Ventures Limited (Mackenzie Gas Project)
755,Imperial Pipeline Company Limited
756,Independent Electricity System Operator (IESO)
757,Inergy Propane LLC
758,"Infinite Energy, Inc."
759,Innovative Midstream Solutions Inc
760,Integrys Energy Services Inc
761,Integrys Energy Services of Canada Corp
762,"Integrys Energy Services of New York, Inc. (formerly Advantage Energy, Inc.)"
763,"Integrys Energy Services, Inc. (formerly WPS Energy Services, Inc.)"
764,InterCoastal Pipe Line Inc
765,International Chemical Company
766,International Paper Company
767,Interprovincial Pipe Line Limited
768,Interprovincial Pipe Line Limited
769,Interprovincial Pipeline (NW) Limited
770,Irving Oil Commercial GP
771,Irving Oil Commercial GP
772,Irving Oil Limited on behalf of Irving Oil Commercial G.P.
773,Irving Oil Limited on behalf of Irving Oil Commercial G.P.
774,Irving Oil MCC Limited
775,Irving Oil Operations General Partner Limited on behalf of Irving Oil Commercial G.P.
776,Irving Oil Operations General Partner Limited on behalf of Irving Oil Commercial G.P.
777,Irving Oil Operations General Partner Limited on behalf of Irving Oil Commercial LP
778,Irving Oil Operations General Partner Limited on behalf of Irving Oil Commercial LP
779,Irving Oil Operations Limited on behalf of Irving Oil Commercial GP
780,Irving Oil Terminals Inc
781,Irving Oil Terminals Inc.
782,Irving Oil Terminals Inc.
783,Irving Oil Terminals Operations Inc
784,Irving Oil Terminals Operations Inc.
785,ISH Energy Ltd.
786,ISH Energy Ltd.
787,ITC Lake Erie Connector LLC
788,J Aron and Company
789,J Aron and Company
790,J Aron and Company
791,J P Morgan Commodities Canada Corporation
792,J P Morgan Ventures Energy Corporation
793,J.P. Morgan Commodities Canada Corporation (formerly Texas Power GP LLC)
794,J.P. Morgan Trading & Transportation Management LLC
795,J.P. Morgan Ventures Energy Corporation
796,JD Irving Limited
797,Jordan Cove LNG L.P.
798,JP Morgan Commodities Canada Corporation
799,Jupiter Resources Inc
800,Just Energy New York Corp.
801,Just Energy Ontario L.P. by and through its general partner Just Energy Corp.
802,Just Energy Ontario L.P. by through its general partner Just Energy Corp.
803,Just Energy Ontario LP
804,K L Case Energy LLC
805,Kaiser Exploration Ltd.
806,Kaiser Exploration Ltd.
807,Kaiser Exploration Ltd.
808,KCES GP Ltd
809,"Kempler & Co., Inc."
810,Keyera Corp. as a managing partner of Keyera Partnership
811,Keyera Energy Inc
812,Keyera Energy Inc.
813,Keyera Energy Limited Partnership
814,Keyera Energy Ltd.
815,KEYERA Energy Ltd.
816,Keyera Partnership by its GP Keyera Energy Management Ltd.
817,"Keyera Partnership, by its managing partner of Keyera Corp"
818,KeySpan Energy Canada Company
819,Keyspan Gas East Corporation d/b/a National Grid
820,"Kiesel Company, The"
821,Kildair Service Ltée
822,Kildair Service ULC
823,Kinder Morgan Cochin ULC
824,Kinder Morgan Cochin ULC (formerly Cochin Pipe Lines Ltd)
825,Kinder Morgan Utopia Ltd.
826,Kinder Morgan Utopia ULC
827,Kinetic Resources LPG
828,Kingston Midstream Limited
829,Kinsella Energy Ltd.
830,Kiros Energy Marketing ULC
831,Kitsault Energy Limited
832,Kitsault Energy Ltd
833,KM LNG Operating General Partnership
834,Koch Canada Energy Services LP
835,Koch Energy Services LLC
836,L & J Energy Systems Inc
837,Lachine Partners LLC
838,Lakes Gas Co
839,Lakes Gas Co.
840,Lakeshore Pipeline Company LLC
841,"Lancaster Propane Gas, Inc."
842,Lansing NGL Services a Division of Lansing Trade Group LLC
843,"Lansing Trade Group, LLC"
844,LBX Pipeline Ltd.
845,Lehman Brothers Commodity Services Inc.
846,Les Pétroles S.I.R. Inc.
847,Les Produits Petroliers Norcan SENC/Norcan Petroleum Produccts GP
848,LGP Energy Inc.
849,Liberty Utilities (EnergyNorth Natural Gas) Corp. d/b/a Liberty Utilities (Liberty Energy Utilities)
850,"Lighthouse Energy Trading Company, Inc."
851,Link Petroleum Inc
852,Lion Oil Trading & Transportation LLC
853,"Lion Oil Trading & Transportation, Inc."
854,"Lion Oil Trading and Transportation, LLC"
855,Liquiline LNG Solutions Corporation
856,LNG Canada Development Inc.
857,LNGNext LLC
858,Local Authority Services Ltd
859,Lochlan Energy Services LLC
860,LOMAC Canada Ltd.
861,Lone Pine Resources Canada Ltd.
862,Lone Pine Resources Canada Ltd.
863,Louis Dreyfus Energy Canada Inc.
864,Louis Dreyfus Energy Canada Inc.
865,Louis Dreyfus Energy Services L.P.
866,Louis Dreyfus Energy Services LP
867,Lukoil Pan Americas LLC
868,MacEwen Petroleum Inc
869,Mackenzie Delta Producers Group
870,Macquarie Commodities Trading Canada Ltd.
871,Macquarie Energy Canada Ltd
872,Macquarie Energy Canada Ltd.
873,Macquarie Oil Services Canada Ltd
874,Macquarie Oil Services Canada Ltd
875,Macquarie Resource Capital Canada Ltd.
876,Macquarie Trading Canada Ltd
877,Madstone Energy Corp.
878,MAG Energy Solutions Inc.
879,Maine & New Brunswick Electrical Power Company Limited
880,Manito Pipelines Ltd
881,Manitoba Hydro
882,Manitoba Hydro-Electric Board
883,Manitoba Oil & Gas Corporation
884,Mansfield Power and Gas LLC
885,Many Islands Pipe Line (Canada) Limited
886,Many Islands Pipe Lines (Canada) Limited
887,Many Islands Pipe Lines (Canada) Limited
888,Marathon Oil Canada Corporation
889,Marathon Petroleum Company LLC
890,Marathon Petroleum Company LP
891,Marathon Petroleum Trading Canada LLC
892,Marathon Petroleum Trading Canada LLC
893,Marathon Power LLC
894,Marauder Resources West Coast Inc.
895,Maritime Electric Company Limited
896,Maritimes & Northeast Pipelines Ltd
897,Maritimes & Northeast Pipelines Management Ltd.
898,Maritimes NG Supply Limited Partnership
899,Marketing D'Énergie HQ Inc - HQ Energy Marketing Inc
900,Marketing D'énergie HQ Inc.
901,Masefield Canada Inc
902,McAsphalt Industries Limited
903,MEG Energy Corp.
904,Mercuria Commodities Canada Corporation
905,Mercuria Commodities Canada Corporation
906,Mercuria Commodities Canada Corporation
907,Mercuria Commodities Canada Corporation
908,Mercuria Energy Canada Inc.
909,Merrill Lynch Commodities Canada ULC
910,Merrill Lynch Commodities Canada ULC
911,Merrill Lynch Commodities Inc
912,Merrill Lynch Commodities Inc
913,Merrill Lynch Commodities Inc.
914,"Metromedia Energy, Inc."
915,Michigan Consolidated Gas Company
916,Michigan Crystal Flash Petroleum Corporation
917,Mid-Continent Pipelines Limited
918,Midwest Industrial Asphalt Inc.
919,Mieco Inc.
920,Minell Pipeline Ltd
921,Minell Pipelines Ltd.
922,Minnesota Energy Resources Corporation
923,Mobil Oil Canada Limited
924,Mobile Energy Group Corporation
925,Moneta Energy Services Ltd
926,Montana Alberta Tie Ltd.
927,Montana Refining Company Inc
928,Montana Refining Corporation Inc
929,Montana-Dakota Utilities Co A Division of MDU Resources Group Inc.
930,Montenay Inc.
931,Montreal Pipe Line Limited
932,Montreal Pipe Line Limited
933,Montreal Pipe Line Limited
934,Morgan Stanley Capital Group Inc
935,Morgan Stanley Capital Group Inc.
936,Morgan Stanley Capital Group Inc.
937,Morgan Stanley Capital Group Inc.
938,Morgan Stanley Capital Group Inc.
939,Mosbacher Operating Ltd
940,Motus Petroleum Ltd.
941,Murphy Atlantic Offshore Oil Company
942,Murphy Oil Company Ltd
943,Murphy Oil Company Ltd
944,Murphy Oil Company Ltd
945,Murphy Oil Company Ltd.
946,Murphy Oil Company Ltd.
947,Murphy Oil USA Inc
948,Musket Canada Inc
949,Musket Canada Inc
950,Musket Canada ULC
951,"MV Purchasing, LLC"
952,MX Petroleum Corp.
953,MX Petroleum Corp.
954,MXenergy Inc.
955,Nalcor Energy (Changed name to Nalcor Energy Marketing Corporation)
956,Nalcor Energy Marketing Corporation (formerly Nalcor Energy )
957,NARL Marketing Limited Partnership
958,"NARL REFINING INC., as the general partner of NARL Refining Limited Partnership"
959,"NARL REFINING INC., as the general partner of NARL Refining Limited Partnership"
960,"Narragansett Electric Company d/b/a National Grid, The"
961,"Narragansett Electric Company d/b/a National Grid, The"
962,National Cooperative Refinery Association
963,National Fuel Gas Distribution Corporation
964,National Fuel Marketing Company LLC
965,National Fuel Resources Inc
966,NB Petro Inc
967,New Brunswick Electric Power Commission
968,New Brunswick Energy Marketing Corporation
969,New Brunswick Power Corporation
970,New Brunswick Power Corporation
971,New Brunswick Power Generation Corporation
972,New Brunswick Power Transmission Corporation (formerly New Brunswick Power Corporation)
973,New Brunswick System Operator
974,New York Energy Savings Corp
975,New York Power Authority
976,New York State Electric & Gas Corporation
977,NewTimes Energy Ltd
978,NewTimes Energy Ltd
979,Nexen Energy Marketing USA Inc.
980,Nexen Inc.
981,Nexen Inc.
982,NEXEN INC. (formerly Nexen Canada Ltd)
983,Nexen Marketing
984,Nexen Marketing
985,Nexen Marketing
986,Nexen Marketing
987,Nexen Marketing
988,NextEra Energy Power Marketing LLC
989,NextEra Energy Power Marketing LLC
990,NextEra Energy Power Marketing LLC (formerly FPL Energy Power Marketing LLC)
991,NGL Crude Canada ULC
992,NGL Crude Logistics LLC
993,NGL Crude Logistics LLC
994,NGL Supply Co Ltd
995,NGL Supply Co. Ltd
996,NGL Supply Wholesale LLC
997,"NGL Supply Wholesale, LLC"
998,Niagara Gas Transmission Limited
999,Niagara Gas Transmission Limited
1000,Niagara Gas Transmission Limited
1001,Niagara Mohawk Power Corporation d-b-a National Grid
1002,NJR Energy Services Company
1003,Noble Americas Corp
1004,Noble Americas Gas & Power Corp
1005,Noble Americas Gas & Power Corp.
1006,Noble Americas Gas and Power Corp
1007,Noble Energy Marketing and Trade Corp
1008,NOCO Energy Corp.
1009,NOCO Energy Corporation
1010,NOCO Energy Corporation
1011,Norcan Petroleum Products GP
1012,Norsk Hydro Crude Marketing Inc
1013,North 60 Petro Ltd
1014,North Atlantic Refining Limited
1015,North Atlantic Refining Limited
1016,North Canadian Oils Limited
1017,"North Collins Cylinder Gas Co., Inc."
1018,"North Dakota LNG, LLC"
1019,Northcrest Forest Products Ltd
1020,Northeast Gas Markets LLC
1021,Northern Blizzard Resources Inc.
1022,Northern Blizzard Resources Inc.
1023,Northern Canada Power Commission
1024,"Northern Gateway Pipelines Inc., as General Partner of Northern Gateway Pipelines Limited Partnership"
1025,Northern States Power Company (Minnesota)
1026,"Northern States Power Company, a Minnesota corporation"
1027,Northern Transportation Company Limited
1028,"Northern Utilities, Inc."
1029,"Northern Utilities, Inc. (Unitil Service Corp.)"
1030,NorthPoint Energy Solutions Inc.
1031,Northridge Petroleum Marketing Inc
1032,Northstar Energy Corporation
1033,Northwest Natural Gas Company
1034,NOVA Chemicals (Canada) Ltd.
1035,NOVA Chemicals (Canada) Ltd.
1036,NOVA Chemicals (Canada) Ltd.
1037,NOVA Chemicals Canada Ltd
1038,NOVA Gas Transmission Ltd.
1039,NOVA Gas Transmission Ltd.
1040,Nova Scotia Power Inc
1041,Novagas Canada Ltd
1042,Novagas Clearinghouse Pipelines Ltd
1043,Novagas Clearinghouse Pipelines Ltd
1044,NRG Energy Inc
1045,NRG Power Marketing LLC
1046,NRG Power Marketing LLC - formerly NRG Power Marketing Inc
1047,NSR International Trading Inc
1048,NuStar Marketing LLC
1049,NuStar Supply and Trade LLC.
1050,NuStar Supply and Trading LLC.
1051,Nutreco Canada Inc
1052,Nutreco Canada Inc.
1053,NuVista Energy Ltd.
1054,NuVista Energy Ltd.
1055,NYSEG Solutions Inc
1056,"NYSEG Solutions, LLC"
1057,Oasis Energy Group Ltd.
1058,Obsidian Energy Ltd.
1059,Obsidian Energy Ltd.
1060,OGE Energy Resources Inc
1061,"OGE Energy Resources, Inc."
1062,Olco Petroleum Group Inc (Changed name to Olco Petroleum Group ULC)
1063,Olco Petroleum Group ULC (Formerly Olco Petroleum Group Inc.)
1064,OMERS Resources Limited
1065,Omimex Canada Ltd
1066,Omimex Canada Ltd.
1067,Omimex Canada Ltd.
1068,"Omimex Canada, Ltd."
1069,ONEOK Energy Services Canada Ltd
1070,"ONEOK Energy Services Company, LP (on behalf of ONEOK Energy Services Company, II)"
1071,ONEOK Rockies Processing Company (Canada) Ltd.
1072,ONEOK Rockies Processing Company (Canada) Ltd.
1073,ONEOK Rockies Processing Company (Canada) Ltd.
1074,Ontario Hydro
1075,Ontario Power Generation Inc.
1076,Orca LNG Ltd.
1077,"Oregon LNG Marketing Company, LLC"
1078,OTG (On The Ground) Sourcing Inc.
1079,Oxy Energy Canada Inc
1080,PAA Natural Gas Canada ULC
1081,Pacific East Energy Ltd.
1082,"Pacific Energy Partners, L.P."
1083,Pacific Gas and Electric Company
1084,Pacific Northern Gas Ltd.
1085,Pacific NorthWest LNG Ltd. as General Partner of the Pacific NorthWest LNG Limited Partnership
1086,Pacific Prime LNG Inc.
1087,Pacific Summit Energy LLC
1088,Pacific Traverse Energy Ltd.
1089,PacifiCorp
1090,Palmer Gas Company Inc
1091,Pan-Alberta Gas Ltd
1092,PanCanadian Energy Corporation (name change to EnCana Corporation)
1093,"Panhandle Eastern Pipe Line Company, LP"
1094,PanTerra Resource Corp
1095,Paramount Transmission Ltd
1096,Paramount Transmission Ltd.
1097,Parkland Refining (B.C.) Ltd
1098,Parkland Refining (B.C.) Ltd
1099,Parnon Energy Inc.
1100,PBF Energy Limited
1101,PBF Holding Company LLC
1102,PBF Holding Company LLC
1103,PBF Holding Company LLC
1104,PDV Midwest Refining LLC
1105,"Peaker Energy Marketing, LLC"
1106,Pembina Energy Services Inc.
1107,Pembina Energy Services Inc.
1108,Pembina Energy Services Inc.
1109,Pembina Marketing Ltd.
1110,Pembina NGL Corporation
1111,"Pembina NGL Corporation and Pembina Resource Services Canada, by its managing partner 1195714 Alberta Ltd."
1112,Pembina North Limited Partnership
1113,Pembina Pipeline Corporation
1114,Pembina Prairie Facilities Ltd.
1115,Pembina Prairie Facilities Ltd.
1116,Pembina Prairie Facilities Ltd. (formerly) Vantage Pipeline Canada ULC
1117,Pembina Resource Services Canada
1118,Pembina Resource Services GP Inc.
1119,Pembina Resource Services GP Inc.
1120,Pendo Energy Marketing Ltd.
1121,Pengrowth Corporation
1122,Pengrowth Corporation
1123,Pengrowth Energy Corporation
1124,Pengrowth Energy Corporation
1125,"Peninsual Power, LLC"
1126,"Peninsula Energy Logistics, LLC"
1127,Penn West Petroleum Ltd.
1128,Penn West Petroleum Ltd.
1129,Penn West Petroleum Ltd.
1130,PES Refining and Marketing LLC
1131,Petro Canada
1132,Petro Canada USA Inc
1133,"Petro Harvester Operating Company, LLC"
1134,Petro-Canada Oil and Gas
1135,Petro-Canada Oil and Gas
1136,PetroBakken Energy Ltd.
1137,PetroChina International (America) Inc.
1138,"PetroChina International (America), Inc."
1139,PetroChina International (Canada) Trading Ltd
1140,PetroChina International (Canada) Trading Ltd.
1141,PetroChina International (Canada) Trading Ltd.
1142,PetroChina International America Inc
1143,PetroChina International Canada Trading Ltd
1144,Petroder Logistics LLC
1145,Petrogas Energy Corp.
1146,Petrogas Energy Corp.
1147,Petrogas Energy Corp. formerly Petrogas Marketing Ltd.
1148,Petrogas Inc.
1149,Petrogas Inc.
1150,Petrogas Marketing Ltd
1151,Petrogas Marketing LTD
1152,Petrolama Energy Canada Inc
1153,PetroLama Energy Canada Inc
1154,Petroleum Logistics Inc
1155,Petroleum Transmission Company
1156,Petrosol International Inc.
1157,Petrovera Resources Ltd.
1158,Phibro LLC
1159,Philadelphia Energy Solutions Refining and Marketing LLC
1160,Phillips 66 Canada Ltd.
1161,Phillips 66 Canada ULC
1162,Phillips 66 Company
1163,Phillips 66 Company
1164,Phillips 66 Company
1165,Phillips 66 Compnay
1166,Pieridae Alberta Production Ltd.
1167,Pieridae Energy (Canada) Ltd
1168,Pine Cliff Border Pipelines Limited
1169,Pine Cliff Border Pipelines Limited
1170,Pine Cliff Border Pipelines Limited
1171,Pine Cliff Border Pipelines Limited
1172,Pine Cliff Energy Ltd
1173,Pine Cliff Energy Ltd.
1174,Pioneer Natural Resources Canada Inc.
1175,Pipestone Energy Corp.
1176,Pipestone Pipelines Ltd
1177,Pittsfield Generating Company LP
1178,PKM Cochin ULC
1179,Plains Marketing Canada LP
1180,Plains Marketing Canada LP
1181,"Plains Marketing Canada, L.P."
1182,Plains Midstream Canada ULC
1183,Plains Midstream Canada ULC
1184,Plains Midstream Canada ULC
1185,Plains Midstream Canada ULC
1186,Plains Midstream Canada ULC
1187,Plains Midstream Empress Management ULC
1188,Planet Energy (New York) Corp.
1189,Planet Energy (Ontario) Corp.
1190,Planet Energy Corp.
1191,Plant-E Corp.
1192,Plum Gas Solutions Inc.
1193,Plum Gas Solutions Inc.
1194,PMC (Nova Scotia) Company
1195,PMC (Nova Scotia) Company
1196,"PMC (Nova Scotia) Company (on behalf of Plains Marketing Canada, L.P.)"
1197,Poco Petroleum Ltd
1198,Point Tupper Marine Services Co.
1199,Portal Municipal Gas Company Canada Inc
1200,Portal Municipal Gas Company Canada Inc.
1201,"Portal, City of"
1202,Portland General Electric Company
1203,"Potelco, Inc."
1204,Pouce Coupe Pipe Line Ltd
1205,Pouce Coupé Pipe Line Ltd
1206,Pouce Coupé Pipe Line Ltd.
1207,Power City Partners LP
1208,Power Energy Marketing LLC
1209,Power Energy Partners LP
1210,Powerex Corp
1211,Powerex Corp
1212,"PPL EnergyPlus LLC (""PPL"")"
1213,Prairie Schooner Limited Partnership (Amalgamated with True Energy Inc.)
1214,Predator Midstream Ltd.
1215,Predator Oil BC Ltd.
1216,Premstar Energy Canada Limited Partnership
1217,Prince Rupert LNG Exports Limited
1218,Proax International Ltd.
1219,Profico Energy Management Ltd.
1220,ProGas Limited
1221,ProGas Limited
1222,Progress Energy Canada Ltd.
1223,"ProLiance Energy, LLC"
1224,"Prometheus Energy Group, Inc."
1225,"Prometheus Energy Group, Inc."
1226,Prosperity Investments (Canada) Inc.
1227,Provident Energy Ltd
1228,Provident Energy Ltd.
1229,Provident Energy Ltd.
1230,Provident Energy Ltd.
1231,Provident Energy Pipeline Inc.
1232,Public Service Company of Colorado
1233,Public Utility District No 1 of Clark County
1234,Puget Sound Energy Inc
1235,"Puget Sound Energy, Inc."
1236,Quality Energy Inc.
1237,Quality Energy Inc.
1238,Quicksilver Resources Canada Inc
1239,Rainbow Energy Marketing Corporation
1240,"Rainbow Pipe Line Company, Ltd."
1241,Rana Hassan Abbas
1242,Regent Resources Ltd
1243,Regent Resources Ltd.
1244,Reliant Energy Northeast LLC
1245,"Reliant Energy Services Canada, Ltd."
1246,Renmore Oil Corp
1247,Repsol Energy Canada Ltd
1248,Repsol Energy Canada Ltd
1249,Repsol Energy Canada Ltd.
1250,Repsol Energy Canada Ltd.
1251,Repsol Oil & Gas Canada Inc
1252,Repsol Oil & Gas Canada Inc
1253,Repsol Oil & Gas Canada Inc on behalf of Repsol Canada Energy Partnership
1254,"Repsol Oil & Gas Canada Inc., on behalf of Repsol Canada Energy Parthership"
1255,Resolute FP Canada Inc.
1256,Resolute FP Canada Inc.
1257,Resolution Resources Ltd.
1258,REV LNG LLC
1259,Revolutionary LNG LLC
1260,Rice Energy Marketing LLC
1261,Rich Energy Inc.
1262,"Rich Energy, Inc."
1263,rich together asset management ltd
1264,Ricks Nova Scotia Co
1265,Rio Energy International Inc
1266,RIOENERGY CANADA LTD
1267,Rioenergy Canada Ltd.
1268,Rioenergy Canada Ltd.
1269,Rioenergy Canada Ltd.
1270,Riovic Services Ltd
1271,RLT FUEL DISTRIBUTION INC
1272,Rochester Gas and Electric Corporation
1273,Rockpoint Gas Storage Canada Ltd.
1274,Roctop Investments Inc.
1275,Rolympus (Canada) Commodities Group ULC
1276,Rolympus (US) Commodities Group LLC
1277,Royal Bank of Canada
1278,Royal Bank of Canada
1279,"RPMG, Inc."
1280,Rubicon NYP Corp
1281,Ruger Energy Inc.
1282,Ruger Energy Inc.
1283,S I R Petroleum Inc
1284,"S.A.C. Energy GP, LLC"
1285,Sable Offshore Energy Inc
1286,Sacramento Energy Resources LLC
1287,"Sacramento Energy Resources, Ltd."
1288,Sacramento Municipal Utility District
1289,Saint John LNG Development Company Ltd.
1290,SanLing Energy Ltd.
1291,SanLing Energy Ltd.
1292,SanLing Energy Ltd.
1293,Saracen LLC (on behalf of Saracen Energy Partners LP)(changed name to Saracen Power LLC)
1294,Saracen Merchant Energy LP
1295,Saracen Power LLC (formerly Saracen LLC on behalf of Saracen Energy Partners LP)
1296,Saracen Power LP (formerly Saracen Power LLC)
1297,Saranac Power Partners L.P.
1298,Saskatchewan Power Corporation
1299,Saskatchewan Power Corporation
1300,Sav-Tech Solvent Inc. o/a Heritage-Crystal Clean
1301,SCL Pipeline Inc.
1302,Scotia Capital Energy Inc
1303,Scotia Commodities Inc.
1304,Sea Breeze Victoria Converter Corporation
1305,SEACOR Energy Canada Limited
1306,Secure Energy Services Inc
1307,Secure Energy Services Inc
1308,Selkirk Cogen Partners LP
1309,"Selkirk Cogen Partners, L.P."
1310,SemCAMS Redwillow ULC
1311,SemCanada Crude Company
1312,SemFuel LP
1313,Sempra Energy & Trading LLC
1314,Sempra Energy Trading (Calgary) ULC
1315,Sempra Energy Trading (Calgary) ULC
1316,Sempra Energy Trading Calgary ULC
1317,Sempra Energy Trading LLC
1318,Sempra Energy Trading LLC
1319,Sempra Energy Trading LLC ( Formerly Sempra Energy Trading Corp)
1320,"Sempra Generation, LLC"
1321,SemStream LP
1322,"Seneca Resources Company, LLC"
1323,Seneca Resources Corporation
1324,Seneca Resources Corporation
1325,Sequent Energy Canada Corp
1326,SESCO Enterprises Canada Limited (formerly SESCO Enterprises LLC)
1327,SESCO Enterprises Canada Ltd.
1328,"SESCO Enterprises, LLC (changed to SESCO Enterprises Canada Limited)"
1329,Seven Generations Energy Ltd.
1330,Seven Generations Energy Ltd.
1331,SHEARON ENERGY LLC
1332,Shell Canada Energy
1333,Shell Canada Limited
1334,Shell Canada Limited
1335,Shell Canada Limited
1336,Shell Canada Limited (on behalf of Shell Canada Products)
1337,Shell Canada Limited as managing partner of Shell Chemicals Canada
1338,Shell Canada Ltd
1339,Shell Canada Ltd as Managing Partner of Shell Canada Energy
1340,Shell Canada Products
1341,Shell Canada Products
1342,Shell Canada Products Limited
1343,"Shell Canada Products, an Alberta general partnership, by its managing partner, Shell Canada Limited"
1344,"Shell Canada Products, an Alberta partnership, by its managing partner, Shell Canada Limited"
1345,Shell Chemicals Canada
1346,Shell Energy North America (Canada) Inc (formerly Coral Energy Canada Inc)
1347,Shell Energy North America (Canada) Inc.
1348,Shell Energy North America (US) Inc.
1349,"Shell Energy North America (US), L.P."
1350,"Shell Energy North America (US), L.P."
1351,"Shell Trading Canada, a division of Pennzoil Quaker State Canada Inc"
1352,"Shell Trading Canada, an Alberta partnership"
1353,"Shell Trading Canada, an Alberta partnership, by its managing partner, Shell Canada Limited"
1354,Shiha Energy Transmission Ltd
1355,Shiha Energy Transmission Ltd.
1356,Sierra Production Company
1357,SIG Holding LLC (formerly Susquehanna Energy Products LLC)
1358,"Silver Square Capital, LLC"
1359,Silverhill Ltd.
1360,Simba Industries Transload Ltd
1361,Simba Transload Ltd.
1362,Sinclair Oil Corporation
1363,Sinopec USA Inc.
1364,Sithe Independence Power Partners LP
1365,Sixpoints Shipping Company Ltd.
1366,"SJ Energy Partners, Inc"
1367,Socar Trading (Canada) Ltd
1368,SOCAR Trading (North America) LLC
1369,Société En Commandité Énergie Windmill DREAM Québec Inc.
1370,Société En Commandité Énergie Windmill DREAN Québec Inc. (now Commandité gestion energy Windmill Dream Québec Inc.)
1371,"Société en commandite Gaz Métro (On behalf of Gaz Métro, inc.)"
1372,"Société en commandite Gaz Métro, agissant par son associé commandité Gas Métro inc."
1373,Societe Generale Energy Corp.
1374,Societe Generale Energy Inc.
1375,Societe Generale Energy LLC
1376,SOCIETE HYDRO-CAN INC
1377,SocïVolta Inc.
1378,Souris Valley Pipeline Limited
1379,Souris Valley Pipeline Limited
1380,Souris Valley Pipeline Limited
1381,Southern California Gas Company
1382,"Southern Connecticut Gas Company, The"
1383,Southern Pacific Resource Corp.
1384,"SouthStar Energy Services, LLC"
1385,"Southwest Energy, L.P."
1386,Spark Energy Canada Corporation
1387,"Spark Energy Gas, LLC"
1388,"Spark Energy Gas, LP dba Associated Energy Services"
1389,Spectra Energy Empress L.P.
1390,Spectra Energy Empress L.P.
1391,Spectra Energy Empress LP
1392,Spectra Energy Empress Management Inc.
1393,Spectra Energy Empress Management Inc. (Formerly Duke Energy Empresss Manangement Inc.)
1394,Spectra Energy Empress Management Inc. as general partner of Spectra Energy Empress L.P.
1395,Spectra Energy Midstream Canada L.P.
1396,Spectra Energy Midstream Canada Partner Corporation
1397,Spectra Energy Midstream Canada Partner Corporation
1398,Spectra Energy Midstream Canada Partner Corporation
1399,"Split Rock Energy LLC (""SRE"")"
1400,"Spotlight Energy, LLC"
1401,Sprague Energy Corp
1402,Sprague Operating Resources LLC formerly Sprague Energy Corp
1403,Spur Border Pipelines Limited
1404,Spur Resources Ltd
1405,Spyglass Resources Corp.
1406,Spyglass Resources Corp.
1407,St. Clair Management Corporation
1408,St. Clair Pipelines Ltd
1409,St. Clair Pipelines Management Inc.
1410,St. Clair Pipelines Management Inc.
1411,St. Clair Pipelines Management Inc.
1412,St. Lawrence Gas Company Inc.
1413,St. Lawrence Gas Company Inc.
1414,St. Paul Park Refining Co. LLC
1415,St. Paul Park Refining Co. LLC
1416,Star Oil & Gas Ltd.
1417,"Star Tank Lines, Inc."
1418,State Resources Investment Corporation
1419,Statoil Canada Ltd.
1420,Statoil Marketing & Trading (US) Inc
1421,STATOIL NATURAL GAS LLC
1422,StatoilHydro Canada Ltd
1423,Steel Reef Pipelines Canada Corp.
1424,Steelhead LNG (A) Inc.
1425,Steelhead LNG (B) Inc
1426,Steelhead LNG (C) Inc.
1427,Steelhead LNG (D) Inc.
1428,Steelhead LNG (E) Inc.
1429,Steppe Petroleum Inc
1430,Steppe Petroleum Inc.
1431,Steppe Petroleum Inc.
1432,Stittco Energy Limited
1433,Stittco Energy Limited
1434,Stolt LNGaz Inc.
1435,Strategic Oil & Gas Ltd.
1436,Strategic Transmission Ltd.
1437,Strategic Transmission Ltd.
1438,Strategic Transmission Ltd.
1439,"Suez Energy Marketing NA, Inc. (formerly Tractebel Energy Marketing, Inc.)"
1440,Suez Marketing LLC
1441,Sumas Energy 2 Inc
1442,Summitt Energy Management Inc.
1443,Suncor Energy Inc
1444,Suncor Energy Inc.
